Facility Name,Status,Region,Technology,Generator Capacity (MW),Latitude,Longitude
Adelaide Desalination,operating,South Australia,"Battery (Discharging),Solar (Utility)",9.14,-35.09694820846758,138.48406087198447
Albany,operating,Western Australia,Wind,21.6,-35.0658354,117.79750630000001
Angaston,operating,South Australia,Distillate,100,-34.5039482864289,139.024296339333
Appin,operating,New South Wales,Gas (Waste Coal Mine),55,-34.210868,150.792711
Ararat,operating,Victoria,Wind,241.59,-37.263393,143.08211599999998
Avonlie,operating,New South Wales,Solar (Utility),245,-34.91911505022873,146.60953991534387
Badgingarra,operating,Western Australia,Wind,130,-30.4399239,115.3240452
Bairnsdale,operating,Victoria,Gas (OCGT),92,-37.842230501524796,147.56372527022
Baking Board,operating,Queensland,Solar (Utility),17,-26.721165999999997,150.55417
Bald Hills,operating,Victoria,Wind,106.6,-38.7581889808652,145.95606244657802
Ballarat,operating,Victoria,Battery (Discharging),30,-37.567452,143.85274099999998
Ballarat Hospital,operating,Victoria,Gas (Reciprocating),1,-37.558774,143.847247
Bango,operating,New South Wales,Wind,328.8,-34.767207772932835,148.92149870748742
Banimboola,operating,Victoria,Hydro,12,-36.534524,147.45978799999997
Bannerton,operating,Victoria,Solar (Utility),100,-34.67263,142.75036200000002
Barcaldine,operating,Queensland,Gas (CCGT),37,-23.5521705751292,145.31485121010098
Barcaldine,operating,Queensland,Solar (Utility),10,-23.547333,145.318972
Barker Inlet,operating,South Australia,Gas (Reciprocating),211,-34.804,138.524
Barron Gorge,operating,Queensland,Hydro,60,-16.8507701285363,145.64704928388701
Bastyan,operating,Tasmania,Hydro,80,-41.7362309059766,145.531588505673
Bayswater,operating,New South Wales,Coal (Black),2640,-32.3935017885229,150.953963043732
Bell Bay Three,operating,Tasmania,Gas (OCGT),163,-41.139323562966396,146.905521847101
Berrybank,operating,Victoria,Wind,289.6,-37.98074089349125,143.47221708704777
Berwick,operating,Victoria,Bioenergy (Biogas),7,-37.940819,145.236257
Beryl,operating,New South Wales,Solar (Utility),98,-32.347501,149.460738
Biala,operating,New South Wales,Wind,110.67,-34.58783555632732,149.36984787301526
Blayney,operating,New South Wales,Wind,9.9,-33.621944,149.198333
Blowering,retired,New South Wales,Hydro,160,-35.3974021381011,148.247225084376
Bluewaters,operating,Western Australia,Coal (Black),434,-33.3306742,116.2259578
Boco Rock,operating,New South Wales,Wind,113,-36.574526757506106,149.12486288728599
Bodangora,operating,New South Wales,Wind,113,-32.407128,149.04133000000002
Bogong / Mackay,operating,Victoria,Hydro,106,-36.80547095191611,147.22784471544
Bolivar,operating,South Australia,Gas (CCGT),128,,
Bomen,operating,New South Wales,Solar (Utility),121,,
Bouldercombe Battery,operating,Queensland,Battery (Discharging),1.25,-23.563443095530477,150.45965800764628
Braemar,operating,Queensland,Gas (OCGT),504,-27.111668775911003,150.907647496929
