Country,2022,Population,MW,kwPerCap
Canada,4400.95,38929902,4400.95,0.1130480626434662
Mexico,9026.45,127504125,9026.45,0.07079339589993656
US,113015,333287557,113015,0.33909156710581906
Argentina,1104.02,46234830,1104.02,0.023878534862137483
Brazil,24078.86,215313498,24078.86,0.11183163258998281
Chile,6250.4400000000005,19603733,6250.4400000000005,0.3188392741321258
Honduras,528.65,10432860,528.65,0.05067162791410984
Austria,3547.6,9042528,3547.6,0.3923239164976874
Belgium,6898.4,11669446,6898.4,0.5911505996085846
Bulgaria,1948.36,6465097,1948.36,0.30136593464877637
Denmark,2490.04,5903037,2490.04,0.4218235460831433
France,17419.38,67935660,17419.38,0.2564099620140586
Germany,66554,84079811,66554,0.791557440584637
Greece,5557.42,10566531,5557.42,0.5259455539381847
Hungary,2988,9683505,2988,0.30856595829712485
Italy,25082.63,58856847,25082.63,0.42616333151519314
Netherlands,22589.69,17703090,22589.69,1.276030907598617
Poland,11166.52,37561599,11166.52,0.2972855335578232
Portugal,2535.99,10379007,2535.99,0.24433840347154598
Romania,1413.92,18956666,1413.92,0.07458695532220698
Spain,20517.54,47615034,20517.54,0.43090465923010784
Sweden,2606,10486941,2606,0.24849953861664711
Switzerland,4133.7,8769741,4133.7,0.47135941642974405
Ukraine,8062,38000000,8062,0.2121578947368421
United Kingdom,14411.92,66971411,14411.92,0.21519510765571298
Russian Federation,1815.9,143555736,1815.9,0.012649442304416175
Israel,4411,9550600,4411,0.461855799635625
Jordan,1914.38,11285869,1914.38,0.16962628221185272
United Arab Emirates,3040.05,9441129,3040.05,0.32200068445203955
Algeria,460.4,44903225,460.4,0.010253161103684646
Morocco,858.2,37457971,858.2,0.02291101138393214
South Africa,6325.91,59893885,6325.91,0.10561862867970578
Australia,26792,25978935,26792,1.0312970874287186
China,393127.14,1412175000,393127.14,0.27838415210579426
India,63146.08,1417173173,63146.08,0.044557772615979374
Japan,78833,125124989,78833,0.6300340214215723
Malaysia,1933.23,33938221,1933.23,0.05696320970978414
Pakistan,1242.61,235824862,1242.61,0.005269206942226473
Philippines,1624.58,115559009,1624.58,0.01405844523986875
South Korea,20974.72,51628117,20974.72,0.406265446403943
Thailand,3065.3,71697030,3065.3,0.04275351433664686
Viet Nam,18474.49,98186856,18474.49,0.18815644733547635
