date,Battery (Charging) - MW,Exports - MW,Imports - MW,Distillate - MW,Gas (Steam) - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Reciprocating) - MW,Battery (Discharging) - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-05-16T16:30:00Z,-0.15,0,76.95,0,113,606.9,125.8,0,52.46,66.75,225,330.2,17.9,0,5.48,0,6.67,22.37,7.77,0,351.68,288
2024-05-16T16:35:00Z,-5.27,0,103,0,107,599.3,152.5,0,39.81,65.21,220.4,307.47,17.93,0,8.41,0,6.32,22.06,9.44,0,400.98,276.6
2024-05-16T16:40:00Z,-5.24,0,49.39,0,128,660.8,152.9,0,48.66,66.8,188.3,284.73,17.97,0,4.01,0,7.56,23.9,9.47,0,365.47,272.2
2024-05-16T16:45:00Z,-5,0,11.37,0,149,696.1,153.2,0,43.72,63.63,208.3,262,18,0,0.9,0,8.8,24.28,9.48,0,334.4,277
2024-05-16T16:50:00Z,-0.03,0,24.5,0,161,699.7,184.2,0,27.55,61.37,194.2,239.27,18.03,0,1.96,0,9.51,24.45,11.42,0,368.22,274.3
2024-05-16T16:55:00Z,-0.13,0,4.61,0,158,693.1,213.6,0,57.28,65.21,170.6,216.53,18.07,0,0.37,0,9.33,24.2,13.26,0,360.52,283.2
2024-05-16T17:00:00Z,-0.07,0,67.25,0,159,694,214,0,45.16,67.56,148.8,193.8,18.1,0,5.18,0,9.39,24.23,13.28,0,429.53,292.5
2024-05-16T17:05:00Z,-0.35,0,141,0,156,689.7,213.7,0,52.58,70.2,88.03,174.37,18.02,0,11.12,0,9.21,24.06,13.26,0,530.85,285.2
2024-05-16T17:10:00Z,-0.33,0,163.3,0,176,743.4,213.8,0,28.88,71.4,68.03,154.93,17.93,0,12.38,0,10.39,26.15,13.27,0,577.25,286.8
2024-05-16T17:15:00Z,-0.19,0,89.65,0,196,790,213.9,0,60.24,73.19,62.45,135.5,17.85,0,6.73,0,11.57,27.88,13.28,0,495.03,279.3
2024-05-16T17:20:00Z,-0.18,0,108.6,0,197,788.5,214.1,0,74.21,79.82,44.88,116.07,17.77,0,8.12,0,11.63,27.83,13.29,0,519.62,176.3
2024-05-16T17:25:00Z,-0.01,0,295.2,0,193,743.2,142.9,0,35.39,91.4,38.83,96.63,17.68,0,22.52,0,11.4,27.94,8.84,0,810.97,238.7
2024-05-16T17:30:00Z,-0.27,0,218.2,0,199,796.2,211,0,27.34,104.2,24.92,77.2,17.6,0,16.38,0,11.75,28.12,13.1,0,681.35,282
2024-05-16T17:35:00Z,-0.08,0,115.4,0,200,795.9,214.2,0,132.8,120,15.04,65.66,17.4,0,8.67,0,11.81,28.12,13.3,0,520.13,237.7
2024-05-16T17:40:00Z,-0.08,0,187.7,-0.1,197,791.4,214.4,0,77.74,137.5,13.01,54.12,17.2,0,13.62,0,11.63,27.93,13.31,0,615.04,269
2024-05-16T17:45:00Z,-0.09,0,169,0,200,798.4,215,0,75.35,151.8,8.41,42.59,17,0,12.26,0,11.81,28.18,13.35,0,595.25,296.4
2024-05-16T17:50:00Z,-0.14,0,127,-0.1,199,794.9,214.4,0,112.6,168.5,4.43,31.05,16.8,0,9.16,0,11.75,28.07,13.31,0,534.85,292.4
2024-05-16T17:55:00Z,-0.05,0,148.9,0,197,790,213.9,0,86.17,182.3,2.09,19.51,16.6,0,10.66,0,11.63,27.88,13.28,0,567.35,268.1
2024-05-16T18:00:00Z,-0.15,0,145.5,-0.1,198,791.3,214.9,0,111.8,192.1,1,7.97,16.4,0,10.46,0,11.69,27.95,13.34,0,555.14,296.2
2024-05-16T18:05:00Z,-0.01,0,176.8,-0.1,197,792.8,214.6,0,83.63,210.9,0.06,6.64,16.22,0,12.59,0,11.63,27.97,13.32,0,591.64,230
2024-05-16T18:10:00Z,-0.1,0,70.6,-0.1,198,792.4,202,137.7,62.74,224.3,0,5.32,16.03,0,5.04,0,11.69,28.02,12.53,10.03,520.56,230
2024-05-16T18:15:00Z,-0.01,-1.05,0,-0.1,198,796.6,210.7,168,104.1,244.4,0,3.99,15.85,0.04,0,0,11.69,28.12,13.08,12.24,452.9,266.3
2024-05-16T18:20:00Z,-0.43,-51.21,0,-0.1,197,793.8,215.2,172.5,116.7,259.2,0,2.66,15.67,1.91,0,0,11.63,28,13.36,12.56,447.8,177.8
2024-05-16T18:25:00Z,-0.5,0,48.51,-0.1,190,785.1,142.2,174,128.2,268.9,0,1.33,15.48,0,3.55,0,11.22,28,8.79,12.68,469.88,230
2024-05-16T18:30:00Z,-1.1,0,49.39,-0.1,198,794.5,135.9,173.4,108.9,280.4,0,0,15.3,0,3.64,0,11.69,28.04,8.4,12.63,471.1,177.8
2024-05-16T18:35:00Z,-0.16,0,84,0,194,787.1,115.5,174,113.1,291.8,0,0,15.2,0,6.22,0,11.46,28.05,7.12,12.67,494.12,177.9
2024-05-16T18:40:00Z,0,0,66.14,0,195,801.7,116.2,175.2,125.9,301,0,0,15.1,0,4.88,0,11.51,28.36,7.17,12.76,470.69,251.2
2024-05-16T18:45:00Z,-0.2,0,0.14,0.01,198,799.5,155.1,174.6,123.6,318.3,0,0,15,0,0.01,0,11.69,28.26,9.6,12.72,422.55,275.6
2024-05-16T18:50:00Z,-0.04,-25.53,0,0.01,198,802.7,156.9,173.6,127.2,332.4,0,0,14.9,0.89,0,0,11.69,28.38,9.71,12.65,418.37,205.8
2024-05-16T18:55:00Z,0,-15.49,0,-0.09,200,805.3,112.6,175.4,144.2,348.1,0,0,14.8,0.52,0,0,11.81,28.53,6.94,12.78,403.65,177.8
2024-05-16T19:00:00Z,-3.91,-11.02,0,0,199,804.8,129.3,172.6,114.8,358.3,0,0,14.7,0.38,0,0,11.75,28.49,7.99,12.57,411.05,175
2024-05-16T19:05:00Z,-5.99,0,48.09,0,179,744.2,129.4,173.8,127.7,373.6,0,0,14.57,0,3.53,0,10.57,28.01,7.99,12.66,449.99,203.7
2024-05-16T19:10:00Z,-5.61,0,27,0.01,195,794.6,129.3,172.9,75.42,377.1,0,0,14.43,0,1.98,0,11.51,28.04,7.99,12.59,435.42,167.2
2024-05-16T19:15:00Z,-4.92,0,130.5,0,178,683.6,110.5,174.7,92.58,399.5,0,0,14.3,0,9.59,0,10.51,25.57,6.81,12.72,520.38,280.9
2024-05-16T19:20:00Z,-5.05,-30.07,0,-0.1,192,791.4,155.5,175.2,71.61,411.4,0,0,14.17,1.03,0,0,11.34,27.94,9.62,12.76,412.92,230
2024-05-16T19:25:00Z,-1.2,0,22.47,0,199,798,142.8,174.8,1,417.8,0,0,14.03,0,1.69,0,11.75,28.2,8.83,12.73,443.59,230
2024-05-16T19:30:00Z,-1.08,0,40.39,-0.1,197,792,136.7,172.9,0.23,428.1,0,0,13.9,0,3.07,0,11.63,27.97,8.45,12.59,453.63,173.4
2024-05-16T19:35:00Z,-3.42,0,147.7,-0.1,179,682.2,129.6,171.3,0.34,438.1,0,0,13.73,0,11.24,0,10.57,25.52,8.01,12.48,561.5,239.2
2024-05-16T19:40:00Z,-3.13,-13.32,0,-0.1,194,791.6,155.7,174.5,0.16,434.2,0,0,13.57,0.47,0,0,11.46,27.91,9.64,12.71,423.98,180.6
2024-05-16T19:45:00Z,-3.33,0,32.58,-0.1,195,797.8,131.8,176,2.14,418.2,0,0,13.4,0,2.48,0,11.51,28.17,8.14,12.82,449.59,183.9
2024-05-16T19:50:00Z,-6.83,0,85.11,-0.1,200,749.9,129.9,174.4,0.06,403.9,0,0,13.23,0,6.51,0,11.81,28.05,8.02,12.71,514.14,183
2024-05-16T19:55:00Z,-4.04,0,114.1,-0.1,198,745.3,130,174.2,0.81,396.3,0,0,13.07,0,8.75,0,11.69,27.87,8.03,12.69,542.7,211.1
2024-05-16T20:00:00Z,-5,0,139.9,-0.1,197,722.1,129.6,172.6,0.25,387.7,0,0,12.9,0,10.76,0,11.63,27.68,8.01,12.57,578.96,192.2
2024-05-16T20:05:00Z,-0.66,0,120.9,-0.1,199,729,130.9,175.5,3.13,376,0,0,12.83,0,9.3,0,11.75,27.95,8.09,12.78,562,285.1
2024-05-16T20:10:00Z,-0.01,0,82.88,-0.1,178,727.3,155.9,174.1,31.19,366.6,0,0,12.77,0,6.21,0,10.51,27.87,9.65,12.68,518.04,276.6
2024-05-16T20:15:00Z,-0.15,0,70.6,-0.1,158,728.7,157.2,174,60.14,360.2,0,0,12.7,0,5.24,0,9.33,27.93,9.73,12.67,496.85,288.3
2024-05-16T20:20:00Z,-0.67,0,71.72,-0.1,132,723.5,156.7,174.4,76.02,355.8,0,0,12.63,0,5.4,0,7.79,27.72,9.7,12.7,491.44,288.3
2024-05-16T20:25:00Z,0,0,40.46,-0.1,113,769,156.8,173.8,65.09,350.9,0,0,12.57,0,3.05,0,6.67,28.09,9.71,12.66,454.79,276.6
2024-05-16T20:30:00Z,0,0,43.81,-0.1,98,767.8,184.9,173.9,37.4,357.2,0,0,12.5,0,3.31,0,5.79,28.07,11.47,12.66,466.92,253.1
2024-05-16T20:35:00Z,-0.09,0,62.79,-0.1,98,765.1,186.1,173.7,27.81,364.5,0,0,12.33,0,4.75,0,5.79,27.96,11.54,12.65,484.63,230
2024-05-16T20:40:00Z,-0.05,0,57.21,-0.1,101,769.5,135.4,174.8,44.88,380.4,0,0,12.17,0,4.46,0,5.96,28.13,8.36,12.73,462.19,230
2024-05-16T20:45:00Z,0,0,58.32,0,100,769,141.3,174.6,15.03,394.6,0,0,12,0,4.6,0,5.91,28.12,8.73,12.72,469.26,182.3
2024-05-16T20:50:00Z,0,0,91.81,0,79,767.9,115.3,173.1,5.72,409.1,0,0,11.83,0,7.24,0,4.67,28.07,7.11,12.61,491.19,193.3
2024-05-16T20:55:00Z,-1.34,0,118.6,0,58,769.6,114.4,173,5.25,425.2,0,0,11.67,0,9.36,0,3.42,28.14,7.06,12.6,509.99,177.8
2024-05-16T21:00:00Z,0,0,112,0,60,744.1,115.3,174,10.06,444.9,0,0,11.5,0,8.92,0,3.54,28.03,7.11,12.67,503.55,173.4
2024-05-16T21:05:00Z,0,0,115.3,-0.1,61,714.8,115.6,175.6,3.88,461.4,0,0,11.45,0,9.14,0,3.6,27.37,7.13,12.79,508.43,177.8
2024-05-16T21:10:00Z,-3.26,0,69.49,-0.1,62,757.4,115.6,174.2,7.36,470.4,0,0,11.4,0,5.53,0,3.66,28.08,7.13,12.69,452.47,173.4
2024-05-16T21:15:00Z,-0.69,0,94.11,-0.1,62,706,110,174.3,16.43,476.4,0,0,11.35,0,7.53,0,3.66,27.05,6.78,12.69,477.55,177.8
2024-05-16T21:20:00Z,-0.01,0,54.98,-0.1,65,734.6,111.1,175.8,5.75,477.1,0,0,11.3,0,4.38,0,3.84,27.95,6.85,12.8,442.35,177.8
