date,Battery (Charging) - MW,Exports - MW,Imports - MW,Distillate - MW,Gas (Steam) - MW,Gas (CCGT) - MW,Gas (OCGT) - MW,Gas (Reciprocating) - MW,Battery (Discharging) - MW,Wind - MW,Solar (Utility) - MW,Solar (Rooftop) - MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-06-01T00:00:00Z,-0.46,0,494.3,-0.1,58,696.6,117.2,173.5,59.02,22.56,0,0,8.1,0,36.68,0,3.42,28.29,9.67,12.64,1722.12,176
2024-06-01T00:05:00Z,-0.36,0,499.8,-0.1,58,698,117.2,159.3,61.58,20.12,0,0,8.03,0,37.24,0,3.42,28.35,9.67,11.6,1764.65,195.5
2024-06-01T00:10:00Z,-2.63,0,427.2,-0.1,57,744.9,117,172.4,61.14,22.66,0,0,7.97,0,31.58,0,3.37,28.34,9.65,12.55,1376.67,173.4
2024-06-01T00:15:00Z,-2.38,0,558,-0.1,61,678.9,118.6,88.88,84.54,21.51,0,0,7.9,0,39.96,0,3.6,27.58,9.8,6.47,2127.87,177.8
2024-06-01T00:20:00Z,-0.34,0,456.9,-0.1,57,707.1,117,173.6,65.32,23.36,0,0,7.83,0,33.25,0,3.37,28.14,9.65,12.64,1522.55,183.6
2024-06-01T00:25:00Z,-0.43,0,459.8,-0.1,61,752.5,118.6,174.9,4.91,24.97,0,0,7.77,0,33.77,0,3.6,28.61,9.79,12.74,1570.03,197.4
2024-06-01T00:30:00Z,-3.4,0,490.2,-0.1,56,743.9,116,171.5,0.73,23.88,0,0,7.7,0,36.32,0,3.31,28.28,9.56,12.49,1745.82,173.4
2024-06-01T00:35:00Z,-3.45,0,637.4,-0.1,57,684.8,117.5,89.48,0.51,22.84,0,0,7.65,0,47.17,0,3.37,27.82,9.69,6.52,3426.39,173.4
2024-06-01T00:40:00Z,-3.79,0,734.5,-0.1,59,645.5,68,87.91,9.35,24.32,0,0,7.6,0,53.53,0,3.48,26.29,4.84,6.4,7287.61,175.1
2024-06-01T00:45:00Z,-0.27,0,739.1,-0.1,61,696.4,18.09,89.27,5.48,25.54,0,0,7.55,0,53.55,0,3.6,28.29,1.53,6.5,7175.99,176
2024-06-01T00:50:00Z,-0.23,0,705.2,-0.1,61,700.3,11.01,110,7.97,25.12,0,0,7.5,0,51.42,0,3.6,28.45,1.08,8.01,5292.35,176
2024-06-01T00:55:00Z,-0.38,0,723.1,-0.1,63,696,9.59,95.75,1.18,24.09,0,0,7.45,0,52.63,0,3.72,28.28,0.94,6.97,6688.24,173.4
