date,Battery (Charging) -  MW,Pumps -  MW,Coal (Brown) -  MW,Coal (Black) -  MW,Bioenergy (Biogas) -  MW,Bioenergy (Biomass) -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Gas (Waste Coal Mine) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-05-09 22:15,-36.63,0.00,4447.00,10821.00,19.72,-0.80,-0.10,63.00,968.60,1698.00,90.47,69.49,55.22,1823.00,2989.00,0.38,0.00,441.20,826.60,0.03,0.00,0.00,3.72,43.86,97.54,6.59,3.99,742.47,254.00
2024-05-09 22:20,-28.72,0.00,4413.00,10563.00,18.79,-0.80,-0.10,57.00,957.60,1733.00,87.33,69.58,20.28,1932.00,2985.00,0.38,0.00,437.80,807.10,0.03,0.00,0.00,3.37,43.44,99.87,6.36,3.99,737.63,221.40
2024-05-09 22:25,-18.87,0.00,4440.00,10623.00,18.69,-0.80,-0.10,62.00,979.00,1698.00,89.04,70.70,50.02,1872.00,2980.00,0.38,0.00,440.50,811.70,0.03,0.00,0.00,3.66,44.28,97.59,6.49,4.05,739.17,224.60
2024-05-09 22:30,-25.40,0.00,4421.00,10549.00,18.57,-0.80,-0.10,59.00,961.90,1689.00,87.50,69.63,7.40,1861.00,2977.00,0.38,0.00,438.70,806.10,0.03,0.00,0.00,3.48,43.61,97.10,6.37,3.99,740.58,199.00
2024-05-09 22:35,-32.02,0.00,4429.00,10589.00,18.87,-0.80,-0.10,58.00,892.40,1691.00,87.97,71.38,18.94,1774.00,2927.00,0.38,0.00,439.50,809.20,0.03,0.00,0.00,3.42,37.05,97.20,6.41,4.09,744.19,185.60
2024-05-09 22:40,-45.47,0.00,4450.00,10565.00,18.93,-0.80,-0.10,63.00,874.60,1643.00,18.31,67.44,27.25,1944.00,2855.00,0.38,0.00,441.50,807.30,0.03,0.00,0.00,3.72,34.79,94.04,1.33,3.86,740.14,235.40
2024-05-09 22:45,-29.54,0.00,4419.00,10541.00,18.98,-0.80,-0.10,58.00,857.80,1579.00,12.28,67.72,1.70,2037.00,2777.00,0.38,0.00,438.50,805.30,0.03,0.00,0.00,3.42,34.11,89.89,0.89,3.88,739.16,223.00
2024-05-09 22:50,-20.19,0.00,4418.00,10508.00,18.96,-0.80,-0.10,59.00,858.20,1519.00,9.40,70.85,81.56,1945.00,2761.00,0.38,0.00,438.30,803.00,0.03,0.00,0.00,3.48,34.12,86.02,0.68,4.06,739.44,226.20
2024-05-09 22:55,-165.20,0.00,4403.00,10466.00,19.19,-0.80,-0.10,56.00,853.20,1510.00,0.00,67.46,77.58,1950.00,2735.00,0.46,0.00,436.80,799.80,0.03,0.00,0.00,3.31,33.94,85.44,0.00,3.87,744.51,147.60
2024-05-09 23:00,-128.40,0.00,4444.00,10560.00,19.09,-0.80,-0.10,62.00,811.90,1432.00,0.00,68.20,11.82,1934.00,2761.00,0.38,0.00,440.90,807.00,0.03,0.00,0.00,3.66,32.30,81.55,0.00,3.90,747.76,148.40
2024-05-09 23:05,-243.60,0.00,4394.00,10466.00,19.08,-0.80,-0.10,56.00,740.50,1586.00,0.00,69.54,-0.81,1927.00,2734.00,0.38,0.00,435.90,799.80,0.03,0.00,0.00,3.31,29.49,90.59,0.00,3.98,752.15,132.00
