date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-02-07 09:55,-4.95,-280.00,0.00,0.00,83.00,0.00,0.10,0.00,0.26,420.40,435.10,1100.12,20.67,1.46,0.00,0.00,4.90,0.00,0.01,0.00,23.56,-36.12
2024-02-07 10:00,-1.91,-255.30,0.00,0.00,86.00,0.00,0.10,0.00,2.79,392.00,420.90,1127.00,20.70,0.41,0.00,0.00,5.08,0.00,0.01,0.00,31.69,-30.00
2024-02-07 10:05,-0.34,-289.90,0.00,0.00,88.00,0.00,0.10,0.00,7.28,367.80,428.60,1142.50,20.92,1.69,0.00,0.00,5.20,0.00,0.01,0.00,24.16,-32.31
2024-02-07 10:10,-2.01,-292.00,0.00,0.00,83.00,0.00,0.10,0.00,1.72,371.20,440.20,1158.00,21.13,1.60,0.00,0.00,4.90,0.00,0.01,0.00,22.56,-43.21
2024-02-07 10:15,-9.85,-276.50,0.00,0.00,83.00,0.00,0.10,0.00,0.26,346.20,435.50,1173.50,21.35,1.57,0.00,0.00,4.90,0.00,0.01,0.00,22.87,-43.14
2024-02-07 10:20,-21.32,-282.00,0.00,0.00,85.00,0.00,0.09,0.00,0.00,347.90,436.20,1189.00,21.57,1.63,0.00,0.00,5.02,0.00,0.01,0.00,23.21,-36.78
2024-02-07 10:25,-36.45,-270.70,0.00,0.00,89.00,0.00,0.10,0.00,0.00,319.50,451.00,1204.50,21.78,1.66,0.00,0.00,5.25,0.00,0.01,0.00,24.62,-43.62
2024-02-07 10:30,-20.23,-266.10,0.00,0.00,92.00,0.00,0.10,0.00,5.40,286.80,441.00,1220.00,22.00,0.44,0.00,0.00,5.43,0.00,0.01,0.00,34.13,-36.59
2024-02-07 10:35,-9.12,-263.90,0.00,0.00,81.00,0.00,0.09,0.00,0.00,278.50,451.40,1231.67,22.15,1.56,0.00,0.00,4.78,0.00,0.01,0.00,21.91,-44.57
2024-02-07 10:40,-39.87,-177.80,0.00,0.00,88.00,0.00,0.10,0.00,0.00,241.40,440.60,1243.33,22.30,1.20,0.00,0.00,5.20,0.00,0.01,0.00,26.74,-37.92
2024-02-07 10:45,-32.66,-148.90,0.00,0.00,80.00,0.00,0.10,0.00,0.00,221.40,402.90,1255.00,22.45,1.00,0.00,0.00,4.72,0.00,0.01,0.00,25.19,-45.00
2024-02-07 10:50,-55.50,0.00,38.49,0.00,86.00,0.00,0.10,0.00,0.00,189.60,292.90,1266.67,22.60,0.00,2.41,0.00,5.08,0.00,0.01,0.00,49.46,-45.00
2024-02-07 10:55,-20.70,-17.20,0.00,0.00,82.00,0.00,0.09,0.00,0.00,165.00,316.80,1278.33,22.75,0.15,0.00,0.00,4.84,0.00,0.01,0.00,31.26,-40.71
2024-02-07 11:00,-54.53,-0.34,0.00,0.00,81.00,0.00,0.09,0.00,0.00,152.30,333.80,1290.00,22.90,0.00,0.00,0.00,4.78,0.00,0.01,0.00,31.89,-40.71
2024-02-07 11:05,-65.33,0.00,0.89,0.00,80.00,0.00,0.10,0.00,0.00,145.00,331.20,1289.33,22.77,0.00,0.06,0.00,4.72,0.00,0.01,0.00,32.25,-45.00
2024-02-07 11:10,-73.90,0.00,86.72,-0.10,86.00,0.00,0.09,0.00,0.00,145.90,285.50,1288.67,22.63,0.00,5.33,0.00,5.08,0.00,0.01,0.00,68.73,-41.34
2024-02-07 11:15,-79.74,0.00,43.07,-0.10,80.00,0.00,0.10,0.00,0.00,139.10,315.00,1288.00,22.50,0.00,2.63,0.00,4.72,0.00,0.01,0.00,49.48,-45.00
2024-02-07 11:20,-67.44,0.00,114.70,-0.10,80.00,0.00,0.10,0.00,0.00,143.50,251.10,1287.33,22.37,0.00,6.91,0.00,4.72,0.00,0.01,0.00,77.21,-45.00
2024-02-07 11:25,-66.71,0.00,69.86,-0.10,82.00,0.00,0.10,0.00,0.00,137.00,255.60,1286.67,22.23,0.00,4.25,0.00,4.84,0.00,0.01,0.00,61.92,-40.20
2024-02-07 11:30,-90.48,0.00,16.52,-0.10,80.00,0.00,0.10,0.00,0.00,123.00,331.60,1286.00,22.10,0.00,0.41,0.00,4.72,0.00,0.01,0.00,35.34,-46.77
2024-02-07 11:35,-68.03,0.00,115.90,-0.10,84.00,0.00,0.10,0.00,0.00,102.60,235.20,1296.67,22.17,0.00,6.92,0.00,4.96,0.00,0.01,0.00,80.73,-41.00
2024-02-07 11:40,-110.10,0.00,75.56,0.00,79.00,0.00,0.10,0.00,0.00,106.00,303.20,1307.33,22.23,0.00,4.44,0.00,4.67,0.00,0.01,0.00,62.11,-45.00
2024-02-07 11:45,-78.68,0.00,46.54,0.00,81.00,0.00,0.10,0.00,0.00,118.90,285.00,1318.00,22.30,0.00,2.83,0.00,4.78,0.00,0.01,0.00,51.65,-46.00
2024-02-07 11:50,-65.22,0.00,76.79,0.00,84.00,0.00,0.09,0.00,0.00,118.20,233.00,1328.67,22.37,0.00,4.69,0.00,4.96,0.00,0.01,0.00,65.29,-46.65
2024-02-07 11:55,-61.58,0.00,81.26,0.00,79.00,0.00,0.10,0.00,0.00,113.70,220.30,1339.33,22.43,0.00,4.83,0.00,4.67,0.00,0.01,0.00,64.36,-46.77
2024-02-07 12:00,-59.39,0.00,119.20,0.00,80.00,0.00,0.09,0.00,0.00,91.58,198.20,1350.00,22.50,0.00,3.01,0.00,4.72,0.00,0.01,0.00,52.17,-48.35
2024-02-07 12:05,-55.40,0.00,94.65,0.00,81.00,0.00,0.10,0.00,0.00,99.83,181.00,1368.33,22.58,0.00,5.59,0.00,4.78,0.00,0.01,0.00,70.38,-49.53
2024-02-07 12:10,-63.61,0.00,95.89,0.00,80.00,0.00,0.10,0.00,0.00,101.50,176.60,1386.67,22.67,0.00,5.69,0.00,4.72,0.00,0.01,0.00,70.38,-46.77
