Time,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Battery (Discharging) - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Distillate - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Temperature - C,Price - AUD/MWh
2019-12-14 06:20,10.20,1.13,179.58,0.09,0.00,0.00,665.50,164.50,0.02,204.53,0.00,-0.50,14.23,92.05
2019-12-14 06:25,16.55,3.84,171.19,0.20,0.00,0.00,666.83,163.46,0.02,193.93,0.00,-0.08,14.17,92.05
2019-12-14 06:30,22.91,6.50,170.49,0.00,0.00,0.00,666.88,161.53,0.02,293.52,0.00,-3.96,14.10,77.40
2019-12-14 06:35,28.59,12.38,155.67,1.10,0.00,0.00,614.81,136.24,0.02,280.25,0.00,-0.07,14.13,77.40
2019-12-14 06:40,34.28,14.91,141.68,1.46,0.00,0.00,640.61,132.72,0.02,254.88,0.00,-0.08,14.17,77.40
2019-12-14 06:45,39.97,19.94,136.30,0.00,0.00,0.00,664.92,148.31,0.02,250.42,0.00,-3.84,14.20,77.40
2019-12-14 06:50,45.65,26.88,130.66,0.00,0.00,0.00,667.25,170.47,0.02,196.45,0.00,-6.87,14.23,77.40
2019-12-14 06:55,51.34,32.66,119.25,4.64,0.00,0.00,665.76,193.49,0.02,173.41,0.00,-0.06,14.27,77.40
2019-12-14 07:00,57.02,40.22,119.25,0.00,0.00,0.00,666.21,222.94,0.02,183.10,0.00,-25.66,14.30,56.99
2019-12-14 07:05,64.61,47.14,125.33,3.22,0.00,0.00,636.82,247.91,0.02,167.87,0.00,-0.28,14.33,56.99
2019-12-14 07:10,72.19,51.69,131.71,0.53,0.00,0.00,636.15,278.78,0.02,149.12,0.00,-0.34,14.37,56.99
2019-12-14 07:15,79.78,59.24,132.59,0.00,0.00,0.00,604.80,301.73,0.02,146.15,0.00,-0.88,14.40,56.99
2019-12-14 07:20,87.37,65.49,139.91,0.00,0.00,0.00,579.12,312.51,0.02,162.86,0.00,-10.37,14.43,56.99
2019-12-14 07:25,94.95,76.99,134.04,0.00,0.00,0.00,544.04,311.16,0.02,168.31,0.00,-0.31,14.47,56.99
2019-12-14 07:30,102.54,86.64,136.14,9.67,0.00,0.00,533.15,319.26,0.02,195.69,0.00,-0.07,14.50,55.02
2019-12-14 07:35,111.66,98.12,128.62,1.27,0.06,0.00,509.39,322.73,0.02,128.05,0.00,-2.76,14.62,55.02
2019-12-14 07:40,120.78,99.54,144.15,7.52,0.08,0.00,526.30,348.61,0.02,116.83,0.00,-0.05,14.73,55.02
2019-12-14 07:45,129.90,107.03,155.21,16.77,0.08,0.00,528.07,356.36,0.02,89.99,0.00,-0.16,14.85,55.02
2019-12-14 07:50,139.01,117.05,129.59,0.00,0.08,0.00,527.22,357.46,0.02,105.08,0.00,-7.41,14.97,55.02
2019-12-14 07:55,148.13,122.33,118.99,4.91,0.00,0.00,523.64,359.16,0.02,97.54,0.00,-0.30,15.08,55.02
2019-12-14 08:00,157.25,129.47,127.09,0.00,0.00,0.00,527.58,354.74,0.02,71.84,0.00,-0.73,15.20,53.42
2019-12-14 08:05,170.86,136.35,144.96,1.55,0.00,0.00,527.30,366.48,0.02,34.14,0.00,-0.05,15.35,53.42
2019-12-14 08:10,184.48,141.56,210.74,0.00,0.00,0.00,526.82,361.01,0.02,43.87,0.00,-4.96,15.50,53.42
2019-12-14 08:15,198.09,145.32,131.17,0.03,0.00,0.00,505.42,354.95,0.02,69.72,0.00,-3.30,15.65,53.42
2019-12-14 08:20,211.70,150.51,133.09,0.00,0.00,0.00,487.85,357.55,0.02,51.01,0.00,-5.32,15.80,53.42
2019-12-14 08:25,225.32,154.89,131.97,3.66,0.00,0.00,489.84,363.68,0.02,42.39,0.00,-0.09,15.95,53.42
2019-12-14 08:30,238.93,158.21,133.45,4.57,0.00,0.00,492.48,368.49,0.02,25.25,0.00,-0.05,16.10,60.16
2019-12-14 08:35,257.20,157.07,125.94,6.49,0.00,0.00,517.35,359.72,0.02,0.00,-32.63,-0.14,16.25,60.16
2019-12-14 08:40,275.47,155.01,114.90,0.40,0.00,0.00,567.70,363.18,0.02,0.00,-47.41,-0.04,16.40,60.16
2019-12-14 08:45,293.74,155.43,118.49,0.00,0.00,0.00,602.66,341.25,0.02,0.00,-54.29,-4.87,16.55,60.16
2019-12-14 08:50,312.01,154.53,117.48,8.40,0.00,0.00,597.41,312.35,0.02,0.00,-63.67,-0.20,16.70,60.16
2019-12-14 08:55,330.28,155.84,105.00,0.00,0.00,0.00,630.04,305.07,0.02,0.00,-29.85,-10.52,16.85,60.16
2019-12-14 09:00,348.55,157.54,101.20,0.00,0.00,0.00,602.04,279.52,0.02,33.07,0.00,-18.77,17.00,55.68
2019-12-14 09:05,368.85,159.15,92.76,24.28,0.00,0.00,564.11,265.80,0.02,38.48,0.00,-0.07,17.23,55.68
2019-12-14 09:10,389.16,158.50,104.46,5.59,0.00,0.00,559.45,247.73,0.02,87.75,0.00,-0.19,17.47,55.68
2019-12-14 09:15,409.46,156.69,119.59,0.00,0.00,0.00,530.43,223.22,0.02,59.65,0.00,-25.18,17.70,55.68
2019-12-14 09:20,429.77,156.67,125.46,0.04,0.00,0.00,544.24,187.81,0.02,89.02,0.00,-35.00,17.93,55.68
2019-12-14 09:25,450.07,156.63,108.85,0.95,0.00,0.00,503.77,183.48,0.02,101.35,0.00,-11.98,18.17,55.68
2019-12-14 09:30,470.38,155.38,105.50,11.40,0.00,0.00,494.04,177.07,0.02,111.23,0.00,-0.10,18.40,52.09
2019-12-14 09:35,493.81,157.30,100.81,29.70,0.00,0.00,500.56,198.49,0.02,62.05,0.00,-0.23,18.53,52.09
2019-12-14 09:40,517.25,162.71,85.51,2.28,0.00,0.00,504.28,187.07,0.02,58.58,0.00,-0.10,18.67,52.09
2019-12-14 09:45,540.68,164.44,88.98,12.30,0.00,0.00,503.09,176.71,0.02,72.44,0.00,-0.20,18.80,52.09
2019-12-14 09:50,564.11,170.17,103.86,21.58,0.00,0.00,491.18,165.91,0.02,48.19,0.00,-0.05,18.93,52.09
2019-12-14 09:55,587.55,172.88,110.29,0.00,0.00,0.00,481.04,150.55,0.02,43.37,0.00,-9.17,19.07,52.09
2019-12-14 10:00,610.98,169.40,104.17,0.01,0.00,0.00,478.72,119.15,0.02,58.82,0.00,0.00,19.20,53.84
2019-12-14 10:05,634.65,170.06,97.51,24.38,0.00,0.00,450.83,122.39,0.02,20.18,0.00,-0.07,19.08,53.84
2019-12-14 10:10,658.32,171.81,106.56,0.00,0.00,0.00,422.94,119.07,0.02,97.39,0.00,-9.78,18.97,53.84
2019-12-14 10:15,682.00,178.09,110.94,0.02,0.00,0.00,374.44,105.18,0.02,54.48,0.00,-2.80,18.85,53.84
2019-12-14 10:20,705.67,195.56,107.48,29.41,0.00,0.00,363.46,129.97,0.02,26.60,0.00,-0.17,18.73,53.84
2019-12-14 10:25,729.34,216.21,100.60,0.06,0.00,0.00,347.46,129.28,0.02,32.71,0.00,0.00,18.62,53.84
2019-12-14 10:30,753.01,212.81,81.11,8.60,0.00,0.00,345.33,134.84,0.02,26.49,0.00,-0.07,18.50,50.61
2019-12-14 10:35,765.73,203.10,61.45,9.20,0.00,0.00,338.98,130.96,0.02,14.51,0.00,-0.13,18.62,50.61
2019-12-14 10:40,778.45,203.98,70.90,3.30,0.00,0.00,355.29,124.75,0.02,0.00,-6.62,-0.18,18.73,50.61
2019-12-14 10:45,791.16,219.28,76.19,0.00,0.00,0.00,349.61,126.26,0.02,0.00,-25.25,-0.91,18.85,50.61
2019-12-14 10:50,803.88,207.31,80.69,0.00,0.00,0.00,325.93,129.60,0.02,0.00,-28.83,-5.69,18.97,50.61
2019-12-14 10:55,816.60,218.82,71.66,0.00,0.00,0.00,308.55,118.32,0.02,0.00,-47.39,-5.78,19.08,50.61
2019-12-14 11:00,829.32,216.84,69.51,18.40,0.00,0.00,313.17,103.41,0.02,0.00,-15.59,-0.08,19.20,45.87
2019-12-14 11:05,835.87,224.94,72.59,4.00,0.00,0.00,317.01,127.78,0.02,0.00,-59.14,-0.20,19.20,45.87
2019-12-14 11:10,842.41,224.15,77.73,1.50,0.00,0.00,315.43,127.50,0.02,0.00,-111.01,-0.02,19.20,45.87
2019-12-14 11:15,848.96,224.86,77.99,0.00,0.00,0.00,308.39,131.27,0.02,0.00,-97.33,-4.45,19.20,45.87
2019-12-14 11:20,855.51,225.28,91.94,0.00,0.00,0.00,309.97,132.05,0.02,0.00,-95.39,-1.93,19.20,45.87
2019-12-14 11:25,862.05,219.48,90.12,1.49,0.00,0.00,310.35,126.23,0.02,0.00,-91.91,-3.32,19.20,45.87
2019-12-14 11:30,868.60,212.47,78.58,30.01,0.00,0.00,319.90,132.38,0.02,0.00,-114.49,-0.09,19.20,42.75
2019-12-14 11:35,872.51,225.31,85.07,5.20,0.00,0.00,331.32,149.01,0.02,0.00,-109.64,-0.01,19.20,42.75
2019-12-14 11:40,876.43,225.32,95.08,0.00,0.00,0.00,305.26,131.49,0.02,0.00,-118.49,-24.52,19.20,42.75
2019-12-14 11:45,880.35,224.79,91.27,18.71,0.00,0.00,315.26,126.64,0.02,0.00,-110.81,-0.02,19.20,42.75
2019-12-14 11:50,884.26,225.06,96.95,0.00,0.00,0.00,306.93,124.12,0.02,0.00,-123.81,-18.17,19.20,42.75
2019-12-14 11:55,888.18,225.16,104.31,0.00,0.00,0.00,304.98,118.70,0.02,0.00,-124.83,-17.67,19.20,42.75
2019-12-14 12:00,892.09,225.26,116.88,4.60,0.00,0.00,336.38,117.04,0.02,0.00,-155.31,-0.06,19.20,47.28
2019-12-14 12:05,894.61,225.06,123.83,17.60,0.00,0.00,329.56,119.14,0.02,0.00,-163.68,-0.20,19.38,47.28
2019-12-14 12:10,897.13,225.16,128.61,0.00,0.00,0.00,305.86,110.77,0.02,0.00,-176.94,-21.52,19.57,47.28
2019-12-14 12:15,899.66,225.21,128.99,11.14,0.00,0.00,304.26,102.02,0.02,0.00,-154.21,0.00,19.75,47.28
2019-12-14 12:20,902.18,225.15,130.97,0.00,0.00,0.00,304.31,109.67,0.02,0.00,-159.81,-0.77,19.93,47.28
2019-12-14 12:25,904.70,225.09,130.08,2.10,0.00,0.00,305.11,104.13,0.02,0.00,-157.70,-0.10,20.12,47.28
