date,Solar (Rooftop) -  MW,Solar (Utility) -  MW,Wind -  MW,Battery (Discharging) -  MW,Gas (Reciprocating) -  MW,Gas (OCGT) -  MW,Gas (CCGT) -  MW,Gas (Steam) -  MW,Distillate -  MW,Imports -  MW,Exports -  MW,Battery (Charging) -  MW,Temperature - C,Price - AUD/MWh
2019-12-21 16:55,268.70,199.24,747.02,1.26,20.72,0.00,204.05,164.72,0.02,0.00,-6.05,-0.09,20.25,56.28
2019-12-21 17:00,225.98,168.36,730.42,29.03,20.77,0.00,218.60,162.36,0.02,0.00,-6.95,-0.10,20.00,54.05
2019-12-21 17:05,216.91,144.21,751.25,0.00,20.34,0.00,204.45,174.14,0.02,21.78,0.00,-16.37,19.88,54.05
2019-12-21 17:10,207.85,138.67,766.52,0.00,20.45,0.00,202.31,173.46,0.02,39.27,0.00,-1.58,19.77,54.05
2019-12-21 17:15,198.78,158.09,771.28,2.41,20.25,0.00,204.80,181.96,0.02,68.77,0.00,-0.09,19.65,54.05
2019-12-21 17:20,189.71,167.90,763.62,0.00,20.34,0.00,203.40,177.17,0.02,71.09,0.00,-0.04,19.53,54.05
2019-12-21 17:25,180.65,164.88,780.12,31.34,19.99,0.00,205.87,191.09,0.02,63.78,0.00,-0.06,19.42,54.05
2019-12-21 17:30,171.58,174.94,779.33,0.00,19.14,0.00,204.20,177.78,0.02,24.29,0.00,-4.41,19.30,49.70
2019-12-21 17:35,164.09,136.53,768.34,0.00,20.98,0.00,213.51,176.95,0.02,68.22,0.00,-0.38,19.20,49.70
2019-12-21 17:40,156.60,129.83,761.51,15.91,19.93,0.00,294.27,180.40,0.02,36.72,0.00,-0.07,19.10,49.70
2019-12-21 17:45,149.11,128.92,783.05,34.19,20.05,0.00,301.20,184.11,0.02,29.51,0.00,-0.08,19.00,49.70
2019-12-21 17:50,141.62,126.29,792.30,23.77,20.48,0.00,312.61,177.18,0.02,32.75,0.00,-0.04,18.90,49.70
2019-12-21 17:55,134.13,126.52,826.09,0.00,20.39,0.00,303.44,176.54,0.02,0.00,-11.58,-0.38,18.80,49.70
2019-12-21 18:00,126.64,124.32,844.65,23.95,20.23,0.00,303.21,174.63,0.02,0.00,-58.82,-0.18,18.70,48.54
2019-12-21 18:05,120.98,120.59,859.42,18.46,20.22,0.00,308.42,182.71,0.02,0.00,-74.85,-0.10,18.67,48.54
2019-12-21 18:10,115.32,114.31,899.85,4.37,20.34,0.00,313.24,183.92,0.02,0.00,-35.36,-0.11,18.63,48.54
2019-12-21 18:15,109.66,108.70,882.08,0.50,20.08,0.00,304.34,181.19,0.02,0.00,-31.11,-38.08,18.60,48.54
2019-12-21 18:20,104.01,107.67,841.23,0.00,20.68,0.00,304.56,178.64,0.02,0.00,-24.32,-39.54,18.57,48.54
2019-12-21 18:25,98.35,102.57,856.44,24.87,20.74,0.00,312.27,185.11,0.02,0.57,0.00,-0.09,18.53,48.54
2019-12-21 18:30,92.69,98.64,865.45,23.98,20.33,0.00,320.12,182.94,0.02,7.02,0.00,-0.06,18.50,51.58
