date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2023-10-28 11:10,-104.20,-368.60,0.00,0.05,41.00,0.00,29.74,0.00,0.00,655.20,13.85,1484.67,25.82,0.00,-92.97
2023-10-28 11:15,-57.49,-468.00,0.00,0.08,42.00,0.00,30.06,0.00,0.00,688.80,13.97,1495.00,25.97,0.00,-68.20
2023-10-28 11:20,-51.78,-527.10,0.00,0.05,40.00,0.00,29.45,0.00,0.15,716.10,13.94,1505.33,26.13,0.00,-113.20
2023-10-28 11:25,-62.64,-462.30,0.00,0.05,40.00,0.00,29.58,0.00,1.95,662.50,13.93,1515.67,26.29,0.00,-105.50
2023-10-28 11:30,-48.32,-435.40,0.00,0.05,43.00,0.00,31.04,0.00,6.80,596.20,13.86,1526.00,26.45,0.00,-62.57
2023-10-28 11:35,-49.43,-471.60,0.00,0.05,41.00,0.00,30.00,0.00,2.25,650.70,13.91,1532.83,26.51,0.00,-65.80
2023-10-28 11:40,-50.11,-543.50,0.00,0.08,40.00,0.00,30.30,0.00,2.85,695.30,13.85,1539.67,26.57,0.00,-99.99
2023-10-28 11:45,-50.68,-523.40,0.00,0.08,40.00,0.00,29.88,0.00,0.90,677.10,14.03,1546.50,26.63,0.00,-115.00
2023-10-28 11:50,-51.30,-497.20,0.00,0.08,40.00,0.00,29.49,0.00,0.30,616.40,13.97,1553.33,26.68,0.00,-59.99
2023-10-28 11:55,-29.77,-585.50,0.00,0.08,39.00,0.00,29.41,0.00,0.00,669.50,20.48,1560.17,26.74,0.00,-60.23
2023-10-28 12:00,-43.77,-590.70,0.00,0.08,43.00,0.00,30.56,0.00,2.70,658.40,14.48,1567.00,26.80,0.00,-115.00
2023-10-28 12:05,-59.77,-497.40,0.00,0.05,39.00,0.00,29.71,0.00,0.00,608.40,13.92,1567.67,26.93,0.00,-59.98
2023-10-28 12:10,-0.13,-691.10,0.00,0.08,42.00,0.00,30.86,0.00,43.61,699.50,24.10,1568.33,27.05,0.00,-59.98
2023-10-28 12:15,-11.64,-644.90,0.00,0.08,40.00,0.00,30.30,0.00,0.00,702.50,24.66,1569.00,27.18,0.00,-59.98
2023-10-28 12:20,-0.01,-658.90,0.00,0.08,41.00,0.00,30.35,0.00,1.14,695.60,24.54,1569.67,27.30,0.00,-55.00
2023-10-28 12:25,-3.25,-732.40,0.00,-0.02,40.00,0.00,29.03,0.00,0.00,743.70,43.62,1570.33,27.43,0.00,-59.98
2023-10-28 12:30,-0.06,-639.80,0.00,-0.02,41.00,0.00,29.66,0.00,0.87,666.80,27.47,1571.00,27.55,0.00,-59.98
2023-10-28 12:35,-11.15,-692.10,0.00,0.08,40.00,0.00,28.04,0.00,0.00,716.90,24.93,1572.83,27.48,0.00,-60.23
2023-10-28 12:40,-33.63,-577.20,0.00,0.08,40.00,0.00,29.58,0.00,0.90,630.10,14.26,1574.67,27.42,0.00,-97.30
2023-10-28 12:45,-49.95,-567.10,0.00,0.08,41.00,0.00,30.05,0.00,0.20,641.20,13.85,1576.50,27.35,0.00,-59.99
2023-10-28 12:50,-3.27,-639.10,0.00,0.08,40.00,0.00,29.79,0.00,0.00,653.30,23.70,1578.33,27.28,0.00,-59.98
2023-10-28 12:55,-16.56,-690.30,0.00,0.08,40.00,0.00,29.36,0.00,0.00,729.30,25.07,1580.17,27.22,0.00,-59.99
2023-10-28 13:00,-8.95,-632.60,0.00,0.08,41.00,0.00,30.51,0.00,0.76,656.90,20.87,1582.00,27.15,0.00,-99.99
2023-10-28 13:05,-51.13,-513.90,0.00,0.08,40.00,0.00,30.30,0.00,0.00,588.70,14.20,1578.67,27.26,0.00,-69.90
2023-10-28 13:10,-46.27,-550.50,0.00,0.08,43.00,0.00,30.01,0.00,2.65,598.60,13.99,1575.33,27.37,0.00,-59.98
2023-10-28 13:15,-27.62,-665.80,0.00,0.08,40.00,0.00,29.61,0.00,0.00,704.60,24.45,1572.00,27.47,0.00,-120.20
2023-10-28 13:20,-102.20,-408.70,0.00,0.08,42.00,0.00,29.84,0.00,0.00,516.50,14.56,1568.67,27.58,0.00,-59.99
2023-10-28 13:25,-0.65,-618.00,0.00,0.08,41.00,0.00,30.81,0.00,5.76,643.10,14.26,1565.33,27.69,0.00,-59.98
2023-10-28 13:30,-0.06,-650.80,0.00,0.08,43.00,0.00,30.65,0.00,5.66,661.60,24.44,1562.00,27.80,0.00,-60.23
2023-10-28 13:35,-0.13,-561.10,0.00,0.08,42.00,0.00,30.86,0.00,15.09,565.70,14.13,1556.83,27.40,0.00,-59.98
2023-10-28 13:40,-0.25,-620.20,0.00,0.08,43.00,0.00,29.87,0.00,3.41,636.40,24.26,1551.67,27.00,0.00,-55.00
2023-10-28 13:45,-0.58,-664.00,0.00,0.08,40.00,0.00,29.36,0.00,0.19,675.90,36.54,1546.50,26.60,0.00,-59.99
2023-10-28 13:50,-0.12,-599.80,0.00,0.08,43.00,0.00,30.82,0.00,9.70,595.00,26.98,1541.33,26.20,0.00,-59.99
2023-10-28 13:55,-2.42,-563.90,0.00,0.08,40.00,0.00,29.07,0.00,0.00,599.70,20.34,1536.17,25.80,0.00,-163.10
2023-10-28 14:00,-197.20,-201.90,0.00,0.08,44.00,0.00,30.72,0.00,2.90,432.20,14.26,1531.00,25.40,0.00,-60.23
2023-10-28 14:05,-0.11,-478.70,0.00,0.08,43.00,0.00,30.77,0.00,5.50,517.80,14.62,1522.67,25.15,0.00,-92.97
2023-10-28 14:10,-34.98,-433.20,0.00,0.08,44.00,0.00,30.57,0.00,0.00,532.60,13.86,1514.33,24.90,0.00,-55.00
2023-10-28 14:15,-0.34,-578.60,0.00,0.08,43.00,0.00,30.95,0.00,4.43,631.30,31.85,1506.00,24.65,0.00,-59.99
2023-10-28 14:20,-5.40,-497.70,0.00,0.08,41.00,0.00,29.54,0.00,2.19,580.10,27.09,1497.67,24.40,0.00,-64.83
2023-10-28 14:25,-26.44,-400.00,0.00,0.08,40.00,0.00,28.66,0.00,0.00,525.40,14.89,1489.33,24.15,0.00,-60.23
2023-10-28 14:30,-34.34,-362.10,0.00,0.08,40.00,0.00,28.37,0.00,0.00,510.70,13.93,1481.00,23.90,0.00,-59.99
2023-10-28 14:35,-25.24,-418.20,0.00,0.08,40.00,0.00,29.24,0.00,0.00,559.30,22.48,1466.17,23.60,0.00,-60.23
2023-10-28 14:40,-5.09,-359.20,0.00,0.08,42.00,0.00,30.52,0.00,0.00,508.10,14.73,1451.33,23.30,0.00,-94.73
2023-10-28 14:45,-19.61,-336.90,0.00,0.08,44.00,0.00,30.57,0.00,19.60,486.90,13.77,1436.50,23.00,0.00,-59.98
2023-10-28 14:50,-0.94,-388.00,0.00,0.08,40.00,0.00,30.00,0.00,0.02,542.60,22.95,1421.67,22.70,0.00,-59.98
2023-10-28 14:55,-1.65,-396.10,0.00,0.08,39.00,0.00,29.45,0.00,0.00,565.60,28.38,1406.83,22.40,0.00,-59.98
