date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Coal (Brown) -  MW,Gas (Steam) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-05-09 22:15,0.00,-346.70,305.40,4447.00,0.00,275.10,10.25,302.40,474.10,0.00,0.00,14.60,28.59,14.18,441.20,0.00,13.15,1087.00,252.00
2024-05-09 22:20,-5.60,-197.80,185.60,4413.00,0.00,271.10,0.46,289.60,473.00,0.00,0.00,14.57,16.37,5.67,437.80,0.00,12.96,1044.01,220.00
2024-05-09 22:25,0.00,-270.40,186.80,4440.00,0.00,274.10,14.02,301.10,482.10,0.00,0.00,14.53,22.25,6.68,440.50,0.00,13.10,1040.02,222.40
2024-05-09 22:30,-2.59,-248.40,160.10,4421.00,0.00,272.10,3.66,286.50,503.20,0.00,0.00,14.50,20.45,5.76,438.70,0.00,13.01,1033.26,197.30
2024-05-09 22:35,-0.50,-332.70,135.40,4429.00,0.00,273.10,4.71,285.90,503.00,0.00,0.00,14.47,27.39,4.42,439.50,0.00,13.05,1025.42,180.30
2024-05-09 22:40,0.00,-375.00,69.14,4450.00,0.00,274.10,10.08,434.10,468.80,0.00,0.00,14.43,30.24,1.54,441.50,0.00,13.10,984.19,224.70
2024-05-09 22:45,-6.21,-408.50,56.86,4419.00,0.00,273.10,0.00,436.90,449.70,0.00,0.00,14.40,33.06,1.25,438.50,0.00,13.05,986.23,216.60
2024-05-09 22:50,-0.03,-451.50,66.90,4418.00,0.00,272.10,4.54,449.20,444.00,0.00,0.00,14.37,36.47,1.46,438.30,0.00,13.01,985.43,219.80
2024-05-09 22:55,-44.86,-369.30,44.58,4403.00,0.00,271.10,0.53,450.50,434.20,0.08,0.00,14.33,29.88,0.95,436.80,0.00,12.96,990.07,145.00
2024-05-09 23:00,-37.90,-322.10,25.53,4444.00,0.00,220.10,5.63,436.10,446.50,0.00,0.00,14.30,26.19,0.53,440.90,0.00,10.52,988.84,145.00
2024-05-09 23:05,-95.22,-395.70,30.07,4394.00,0.00,260.10,0.00,460.30,451.70,0.00,0.00,14.23,31.88,0.70,435.90,0.00,12.43,992.22,130.30
2024-05-09 23:10,-14.72,-277.10,145.20,4436.00,0.00,209.10,0.10,257.40,462.00,0.00,0.00,14.17,23.25,5.29,440.00,0.00,9.99,1052.11,163.00
2024-05-09 23:15,-40.85,-353.10,80.30,4435.00,0.00,256.10,0.00,452.80,448.70,0.00,0.00,14.10,28.55,1.92,440.00,0.00,12.24,997.84,180.50
2024-05-09 23:20,-57.96,-361.50,135.10,4414.00,0.00,272.10,1.45,448.00,440.50,0.00,0.00,14.03,29.24,3.29,437.90,0.00,13.01,1015.53,145.00
2024-05-09 23:25,-39.26,-287.50,77.02,4402.00,0.00,217.10,0.00,386.00,452.40,0.00,0.00,13.97,23.56,1.82,436.80,0.00,10.38,1010.21,145.00
2024-05-09 23:30,-52.50,-258.20,152.40,4439.00,0.00,201.10,1.73,285.40,460.40,0.00,0.00,13.90,21.57,6.34,440.40,0.00,9.61,1059.46,145.00
2024-05-09 23:35,-38.16,-416.20,87.00,4437.00,0.00,237.10,6.99,450.30,453.40,0.00,0.00,13.88,33.65,2.12,440.20,0.00,11.33,999.31,148.70
2024-05-09 23:40,-6.07,-359.20,60.21,4433.00,0.00,275.10,0.70,374.00,465.40,0.00,0.00,13.87,29.32,1.44,439.80,0.00,13.15,995.72,175.80
2024-05-09 23:45,-3.25,-446.40,51.28,4412.00,0.00,273.10,0.00,378.30,459.20,0.00,0.00,13.85,36.44,1.24,437.70,0.00,13.05,993.02,176.70
2024-05-09 23:50,-0.97,-436.30,83.65,4431.00,0.00,274.10,10.49,381.40,451.80,0.00,0.00,13.83,35.60,2.00,439.60,0.00,13.10,1000.27,188.00
2024-05-09 23:55,-0.30,-497.50,123.90,4428.00,0.00,275.10,3.99,381.60,436.70,0.00,0.00,13.82,40.73,2.98,439.30,0.00,13.15,1014.83,180.40
2024-05-10 00:00,0.00,-576.60,160.70,4445.00,0.00,276.10,10.31,376.00,412.50,0.00,0.00,13.80,47.44,3.81,441.00,0.00,13.20,1030.17,186.10
2024-05-10 00:05,-5.16,-559.10,149.60,4418.00,0.00,273.10,1.14,352.30,388.70,0.00,0.00,13.80,46.45,3.40,438.40,0.00,13.05,1038.45,220.00
2024-05-10 00:10,-1.22,-678.00,129.50,4438.00,0.00,276.10,12.90,434.50,366.10,0.00,0.00,13.81,55.63,2.92,440.30,0.00,13.20,1019.20,225.40
2024-05-10 00:15,0.00,-616.90,127.30,4437.00,0.00,275.10,8.62,437.40,356.50,0.00,0.00,13.81,50.72,2.90,440.20,0.00,13.15,1020.12,222.90
2024-05-10 00:20,-4.55,-550.10,59.63,4416.00,0.00,273.10,0.00,420.90,350.20,0.00,0.00,13.82,45.46,1.31,438.20,0.00,13.05,1008.12,221.20
2024-05-10 00:25,-0.13,-588.70,49.04,4439.00,0.00,275.10,8.58,414.20,349.10,0.00,0.00,13.83,48.67,1.09,440.40,0.00,13.15,1004.86,235.50
2024-05-10 00:30,-1.29,-552.90,5.44,4429.00,0.00,274.10,26.60,407.20,352.80,0.00,0.00,13.83,45.58,0.12,439.40,0.00,13.10,990.75,223.50
2024-05-10 00:35,-1.90,-579.30,0.00,4425.00,0.00,274.10,24.00,392.70,354.40,0.00,0.00,13.83,47.87,0.00,439.00,0.00,13.10,992.18,173.00
2024-05-10 00:40,-0.56,-580.30,0.00,4428.00,0.00,274.10,16.30,372.10,352.90,0.00,0.00,13.82,48.23,0.00,439.30,0.00,13.10,997.43,169.50
2024-05-10 00:45,-49.61,-598.00,0.00,4425.00,0.00,275.10,0.15,377.90,350.10,0.00,0.00,13.81,49.81,0.00,439.00,0.00,13.15,1009.92,145.00
2024-05-10 00:50,-36.81,-565.90,0.00,4441.00,0.00,220.10,0.01,363.10,337.00,0.00,0.00,13.81,47.62,0.00,440.70,0.00,10.52,1017.80,145.00
