date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Coal (Brown) -  MW,Gas (OCGT) -  MW,Battery (Discharging) -  MW,Hydro -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-01-18 18:50,-1.40,-756.50,0.00,2604.00,0.10,5.25,0.84,2835.00,254.80,287.23,18.03,34.41,0.00,259.20,0.01,519.52,34.32
2024-01-18 18:55,-0.70,-811.20,0.00,2713.00,0.10,16.41,0.84,2841.00,204.50,249.17,17.97,37.90,0.00,269.80,0.01,537.37,44.42
2024-01-18 19:00,-0.97,-884.00,0.00,2822.00,0.10,15.96,0.85,2864.00,169.80,211.10,17.90,40.44,0.00,280.30,0.01,552.89,34.04
2024-01-18 19:05,0.00,-815.30,0.00,2863.00,0.10,19.01,0.83,2877.00,99.36,185.44,17.87,39.61,0.00,284.70,0.01,565.20,50.52
2024-01-18 19:10,0.00,-913.70,0.00,3025.00,0.10,31.53,0.84,2870.00,80.02,159.78,17.83,45.69,0.00,300.40,0.01,584.52,44.15
2024-01-18 19:15,-0.95,-910.30,0.00,3105.00,0.10,25.87,0.84,2789.00,43.18,134.12,17.80,47.06,0.00,308.30,0.01,606.69,-52.50
2024-01-18 19:20,-19.83,-1084.00,875.40,3088.00,0.10,0.80,0.83,2152.00,33.79,108.46,17.77,63.05,44.01,307.00,0.01,684.27,-39.85
2024-01-18 19:25,-31.13,-1041.00,887.70,3011.00,0.10,0.00,0.84,2232.00,21.30,82.80,17.73,59.31,45.59,299.80,0.01,672.71,-39.38
2024-01-18 19:30,-44.30,-1093.00,1072.00,2974.00,0.10,0.00,0.84,2157.00,16.98,57.14,17.70,61.90,54.17,296.60,0.01,683.68,-39.32
2024-01-18 19:35,-4.50,-1108.00,1216.00,2901.00,0.10,0.11,0.83,2109.00,8.65,47.92,17.65,63.94,60.89,289.60,0.01,685.78,-38.97
2024-01-18 19:40,-53.54,-1000.00,909.40,2906.00,0.10,9.11,0.84,2252.00,4.32,38.70,17.60,56.12,45.37,290.20,0.01,668.29,-18.98
2024-01-18 19:45,-59.28,-1013.00,722.80,2980.00,0.10,0.81,0.84,2410.00,0.99,29.48,17.55,55.80,36.68,297.20,0.01,657.76,8.95
2024-01-18 19:50,-45.88,-1033.00,447.60,3065.00,0.10,0.00,0.83,2627.00,0.30,20.25,17.50,55.35,23.27,305.10,0.01,640.82,8.95
2024-01-18 19:55,-22.69,-1022.00,360.00,3173.00,0.10,8.91,0.83,2573.00,0.04,11.03,17.45,56.01,19.10,315.50,0.01,656.52,41.69
