date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biogas) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biogas) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-05-18,-0.93,-2.58,112.80,264.50,0.00,0.00,0.66,4.11,35.34,14.08,2.21,0.92,0.88,65.38,30.48,32.55,44.47,135089.00,243642.00,0.00,0.00,667.80,2638.00,20195.00,9903.00,1930.00,640.50,685.62,178.64,144653.00,201053.00,21255974.00,45511381.00,0.00,0.00,158794.00,1038618.00,7359197.00,3390966.00,600735.00,132302.00,215401.00,9812962.00,5464942.00,3288709.00,4532415.00
2023-05-19,-1.13,-3.04,111.10,256.50,0.00,0.00,0.46,3.78,37.82,14.42,2.25,0.93,0.80,66.17,36.31,31.28,47.74,133017.00,236386.00,0.00,0.00,469.30,2541.00,21032.00,10311.00,1962.00,647.90,671.25,180.36,160413.00,233517.00,20123228.00,45745075.00,0.00,0.00,109366.00,948696.00,8283574.00,3450336.00,612043.00,138510.00,212764.00,8883651.00,6633169.00,3038836.00,4574812.00
2023-05-20,-0.97,-2.87,86.80,249.40,0.00,0.00,0.01,2.05,17.37,5.05,2.26,1.17,0.91,46.36,88.53,26.16,46.49,105191.00,229795.00,0.00,0.00,13.45,1454.00,9958.00,3732.00,1972.00,817.30,620.57,184.04,113652.00,81667.00,9788515.00,55553865.00,0.00,0.00,16298.00,330383.00,4325579.00,1653814.00,394923.00,215155.00,200699.00,8078582.00,11412599.00,1618810.00,3364959.00
2023-05-21,-0.74,-4.46,89.64,225.40,0.00,0.00,0.00,2.08,17.50,4.62,1.21,1.05,0.64,34.49,116.30,21.87,45.26,108232.00,207932.00,0.00,0.00,0.00,1475.00,10235.00,3365.00,1057.00,732.40,600.20,98.04,17949.00,26568.00,7436765.00,24932290.00,0.00,0.00,0.00,337968.00,3126806.00,990380.00,300820.00,87246.00,123786.00,3851727.00,6816765.00,288886.00,356361.00
2023-05-22,-1.36,-4.12,100.40,255.90,0.00,0.00,0.21,5.65,31.50,12.71,2.51,1.07,1.12,55.24,53.06,37.69,49.40,120954.00,235915.00,0.00,0.00,223.00,3648.00,18315.00,9142.00,2195.00,750.90,650.85,180.43,149983.00,223969.00,18093343.00,45339003.00,0.00,0.00,77745.00,1648856.00,7540704.00,3969869.00,754669.00,159501.00,325062.00,8964106.00,7909171.00,2741890.00,3249546.00
2023-05-23,-1.33,-3.13,101.40,251.80,0.00,0.00,0.38,6.00,34.75,18.61,2.94,1.14,1.18,68.05,36.98,36.63,47.06,122212.00,234219.00,0.00,0.00,419.30,3894.00,20037.00,13463.00,2571.00,805.40,660.00,228.20,225462.00,249372.00,22883693.00,57995442.00,0.00,0.00,144621.00,1798054.00,9781733.00,6068744.00,934578.00,242173.00,362950.00,12920359.00,7379621.00,4195814.00,4761339.00
2023-05-24,-1.70,-5.10,94.60,252.40,0.00,0.12,0.36,1.35,18.48,12.67,0.78,1.16,1.26,41.89,98.34,35.47,49.18,114050.00,232880.00,0.00,22.24,358.70,954.10,12036.00,9094.00,679.50,817.60,616.85,412.04,143082.00,286034.00,6116902.00,144689191.00,0.00,101128.00,753425.00,106201.00,13870528.00,17766166.00,118791.00,600797.00,475104.00,23625421.00,10828579.00,2151858.00,2097358.00
2023-05-25,-1.36,-4.20,97.71,249.90,0.00,0.45,0.76,1.19,16.01,15.74,0.49,1.25,1.10,42.45,128.80,26.58,34.31,117545.00,230469.00,0.00,81.51,714.70,840.30,10710.00,11426.00,429.10,874.20,610.44,291.32,92997.00,380056.00,8268981.00,99736208.00,0.00,184282.00,705657.00,109862.00,8814858.00,11431345.00,74370.00,446006.00,322838.00,16767055.00,17592211.00,2636747.00,3277300.00
2023-05-26,-1.61,-4.55,108.40,247.80,0.00,0.00,0.15,2.04,29.93,13.58,1.56,1.32,1.29,51.74,88.17,31.39,38.50,130174.00,228305.00,0.00,0.00,150.80,1442.00,16722.00,9848.00,1366.00,926.70,637.90,147.37,109380.00,339609.00,13387905.00,39292644.00,0.00,0.00,40327.00,353320.00,5191660.00,3095012.00,329332.00,158649.00,244444.00,6427648.00,10425247.00,2877170.00,3119982.00
2023-05-27,-1.35,-6.50,107.20,238.50,0.00,0.00,0.03,0.04,21.11,7.01,0.49,1.19,1.22,42.37,90.44,28.48,43.58,128407.00,219760.00,0.00,0.00,29.57,25.51,11419.00,5140.00,429.90,840.70,637.94,170.88,65713.00,501009.00,7584525.00,54219700.00,0.00,0.00,24481.00,6579.00,4952241.00,3060265.00,53277.00,197371.00,269787.00,7385267.00,9110434.00,1706223.00,2051850.00
