date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biogas) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biogas) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-05-18,-0.07,-1.18,-3.47,17.20,148.00,0.00,0.00,7.30,2.15,0.06,14.44,7.34,10.74,14.35,16.90,12.74,9.50,2223.00,12009.00,134796.00,0.00,0.00,3377.00,1569.00,689.50,187.95,10634.00,155279.00,27652188.00,0.00,0.00,1440062.00,560476.00,15516.00,3113540.00,1355143.00,1488783.00,1928522.00
2023-05-19,-0.10,-1.48,-1.60,21.13,142.80,0.00,0.03,7.08,2.50,0.06,13.94,8.97,8.30,17.57,19.80,12.94,8.50,1068.00,14983.00,130006.00,0.00,25.71,3229.00,1830.00,679.78,194.72,13686.00,183839.00,27580672.00,0.00,6896.00,1450665.00,626685.00,16566.00,3228854.00,1762410.00,1178833.00,2272144.00
2023-05-20,-0.12,-0.99,-3.26,21.97,139.60,0.00,0.01,1.06,0.61,0.13,11.71,18.77,5.73,15.80,18.80,12.84,8.30,2228.00,15413.00,127124.00,0.00,10.74,474.40,452.40,669.37,237.04,12143.00,78055.00,32471668.00,0.00,16117.00,238303.00,236355.00,73437.00,4472712.00,4107841.00,686972.00,1670549.00
2023-05-21,-0.10,-2.65,-1.73,24.08,118.80,0.00,0.00,2.63,0.72,0.08,6.95,33.97,4.74,14.75,19.40,14.45,10.50,1197.00,15984.00,108143.00,0.00,0.00,1177.00,531.80,616.27,115.34,5514.00,71088.00,14497060.00,0.00,0.00,496948.00,174508.00,18462.00,1372813.00,3356501.00,207655.00,446071.00
2023-05-22,-0.18,-2.65,-1.69,20.68,143.30,0.00,0.00,3.01,2.27,0.15,12.15,10.65,15.33,17.35,20.20,13.14,8.40,1054.00,14817.00,130438.00,0.00,0.00,1453.00,1700.00,668.65,186.23,16329.00,210343.00,26739473.00,0.00,0.00,575842.00,739246.00,47097.00,3500120.00,2093089.00,1341031.00,1357552.00
2023-05-23,-0.10,-1.57,-1.92,19.10,142.60,0.00,0.02,0.78,5.74,0.09,19.72,6.26,15.04,16.91,19.30,12.76,7.80,1307.00,13872.00,129803.00,0.00,17.70,457.90,4285.00,660.73,237.53,22132.00,128523.00,33785682.00,0.00,5809.00,241573.00,1939570.00,29512.00,5954640.00,1498258.00,1711058.00,1664676.00
2023-05-24,-0.06,-3.40,-0.23,31.23,134.30,0.00,0.04,0.39,4.49,0.05,14.95,8.49,14.69,16.83,20.00,12.90,7.90,153.70,22604.00,122210.00,0.00,42.78,228.80,3338.00,668.58,645.24,26102.00,244269.00,80600823.00,0.00,129177.00,576941.00,9382913.00,52391.00,19142177.00,4581695.00,1223213.00,1384120.00
2023-05-25,-0.07,-2.72,-2.96,23.19,133.10,0.00,0.21,0.40,5.71,0.05,14.44,27.65,10.31,12.26,20.00,14.59,8.10,1919.00,16397.00,121173.00,0.00,164.10,233.10,4228.00,633.15,432.35,15341.00,298980.00,55544656.00,0.00,215186.00,427932.00,5536508.00,26569.00,12715534.00,10386738.00,1219483.00,1516510.00
2023-05-26,-0.09,-3.05,-0.38,31.30,135.30,0.00,0.03,4.62,5.22,0.05,12.02,17.37,10.82,8.96,18.70,14.97,9.40,247.50,23508.00,123134.00,0.00,31.84,2128.00,3857.00,685.98,184.31,7157.00,309646.00,24391146.00,0.00,8845.00,1032855.00,1364821.00,12036.00,2810229.00,2803883.00,1738716.00,1473460.00
2023-05-27,-0.12,-4.85,-0.49,36.49,125.10,0.00,0.03,4.40,3.27,0.14,11.60,14.08,9.07,14.96,18.80,11.38,7.00,325.60,28788.00,113886.00,0.00,29.57,1969.00,2422.00,686.86,240.82,11335.00,478770.00,30170172.00,0.00,24481.00,1410936.00,1524138.00,85274.00,4656125.00,3558655.00,910051.00,1303648.00
