date,Battery (Charging) -  GWh,Pumps -  GWh,Exports -  GWh,Imports -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-05-18,0.00,-1.40,-15.65,0.02,116.50,0.00,0.63,13.86,5.68,0.92,0.00,2.99,4.74,16.62,18.42,23.40,17.23,12.30,10565.00,15.60,108845.00,0.00,628.40,9937.00,3875.00,640.50,694.16,153.81,127.50,45773.00,17859193.00,0.00,150686.00,2597842.00,1249993.00,132302.00,896.30,557681.00,753412.00,979498.00,822972.00
2023-05-19,0.00,-1.56,-17.56,0.00,113.70,0.00,0.40,16.39,5.51,0.93,0.00,3.26,4.53,18.05,19.55,21.90,14.84,9.80,11753.00,0.03,106380.00,0.00,400.90,10843.00,3738.00,647.90,675.61,158.73,152.00,49678.00,18164403.00,0.00,92901.00,3067418.00,1223766.00,138510.00,1124.00,660167.00,732476.00,1084324.00,908281.00
2023-05-20,0.00,-1.88,-12.39,0.80,109.70,0.00,0.00,9.47,2.82,1.17,0.00,4.02,5.52,16.44,19.38,22.40,15.25,9.10,7828.00,623.90,102671.00,0.00,0.00,6116.00,1870.00,817.30,672.45,210.97,19.88,3611.00,23082197.00,0.00,0.00,2836137.00,1183446.00,215155.00,3441.00,1180810.00,1147926.00,502670.00,689287.00
2023-05-21,0.00,-1.81,-12.10,1.00,106.70,0.00,0.00,9.58,2.28,1.05,0.00,2.59,13.35,13.58,19.38,21.80,15.67,7.60,7541.00,711.30,99788.00,0.00,0.00,6491.00,1582.00,732.40,654.02,98.17,13.28,-44519.00,10435229.00,0.00,0.00,1458248.00,508486.00,87246.00,842.10,394448.00,1205963.00,-30664.00,-457814.00
2023-05-22,-0.01,-1.47,-15.34,0.06,112.70,0.00,0.15,15.37,4.29,1.07,0.01,2.92,8.45,16.82,19.25,23.10,15.41,10.20,10089.00,43.96,105476.00,0.00,149.80,10547.00,2936.00,750.90,668.54,167.94,2680.00,13625.00,18599529.00,0.00,53686.00,3617150.00,1335441.00,159501.00,1827.00,691688.00,1080434.00,706325.00,450781.00
2023-05-23,-0.14,-1.56,-13.27,0.28,109.20,0.00,0.22,19.31,5.47,1.14,0.12,4.15,5.86,15.49,18.47,23.30,14.89,9.50,8927.00,218.60,104416.00,0.00,219.80,12693.00,3843.00,805.40,687.54,223.44,16159.00,120848.00,24209759.00,0.00,73330.00,5061598.00,1762760.00,242173.00,37948.00,1094911.00,1266248.00,1531423.00,1548975.00
2023-05-24,-0.17,-1.70,-14.90,0.00,118.20,0.12,0.32,14.28,5.41,1.16,0.16,2.88,5.80,15.62,17.89,24.10,15.52,10.40,10259.00,0.62,110669.00,22.24,315.90,10012.00,3782.00,817.60,698.84,570.77,64494.00,41765.00,64088367.00,101128.00,624248.00,12836094.00,8256150.00,600797.00,348500.00,2960943.00,2998238.00,894088.00,996003.00
2023-05-25,-0.24,-1.47,-13.26,0.70,116.80,0.45,0.54,14.23,5.66,1.25,0.19,3.54,4.47,14.71,17.61,23.90,16.55,11.00,9117.00,519.60,109295.00,81.51,539.40,9844.00,3955.00,874.20,702.25,399.74,20749.00,81075.00,44191551.00,184282.00,488568.00,8223260.00,5253395.00,446006.00,170689.00,2223720.00,1105494.00,1200258.00,1133296.00
2023-05-26,-0.22,-1.50,-15.36,0.15,112.60,0.00,0.12,17.01,3.62,1.32,0.18,3.48,9.54,16.02,17.57,26.60,17.96,10.20,10068.00,101.90,105171.00,0.00,118.90,10680.00,2433.00,926.70,664.75,131.77,15030.00,29963.00,14901498.00,0.00,31482.00,2836290.00,853904.00,158649.00,42788.00,599607.00,1248151.00,692471.00,701273.00
2023-05-27,-0.16,-1.65,-14.19,0.18,113.40,0.00,0.00,9.91,2.58,1.19,0.18,4.20,6.49,16.60,18.16,22.50,15.85,10.70,9368.00,135.90,105873.00,0.00,0.00,6226.00,1772.00,840.70,672.32,213.16,9531.00,22239.00,24049527.00,0.00,0.00,2989836.00,1467146.00,197371.00,100530.00,1234374.00,1364318.00,675820.00,374669.00
