date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-05-18,-0.26,-0.07,8.62,0.03,2.15,14.18,1.76,2.21,0.16,7.15,2.26,4.10,14.80,10.40,6.80,13.09,8338.00,39.31,1520.00,6881.00,1555.00,1930.00,479.13,233.52,45257.00,8108.00,550169.00,3321292.00,527701.00,600735.00,42608.00,1451270.00,356495.00,649980.00
2023-05-19,-0.26,-0.03,9.91,0.03,2.79,14.35,2.25,2.25,0.25,5.36,2.08,3.71,16.00,11.41,6.30,5.25,9306.00,42.66,1978.00,6959.00,2004.00,1962.00,521.08,256.51,44082.00,9570.00,723688.00,3765490.00,660658.00,612043.00,73658.00,1135423.00,319032.00,517149.00
2023-05-20,-0.28,-1.92,2.62,0.00,2.05,6.84,1.00,2.26,0.23,18.62,1.78,4.80,16.60,13.07,10.50,266.80,2206.00,2.71,1454.00,3367.00,924.20,1972.00,254.28,136.83,34861.00,181.20,330383.00,1251138.00,102313.00,394923.00,38229.00,2127820.00,177801.00,435157.00
2023-05-21,-0.21,-0.61,5.00,0.00,2.08,5.29,1.02,1.21,0.13,17.43,1.22,4.49,17.50,14.11,10.40,28.56,4272.00,0.00,1475.00,2567.00,831.20,1057.00,274.54,101.11,9130.00,0.00,337968.00,1171608.00,161016.00,300820.00,28427.00,366671.00,38085.00,185178.00
2023-05-22,-0.33,0.00,13.46,0.06,3.08,13.12,1.77,2.51,0.28,2.00,1.00,4.03,15.90,12.49,10.40,0.00,11694.00,73.20,2182.00,6314.00,1452.00,2195.00,583.45,249.66,53157.00,24058.00,843986.00,3347711.00,559065.00,754669.00,86276.00,490591.00,164610.00,609457.00
2023-05-23,-0.36,0.00,9.27,0.14,3.42,14.67,2.44,2.94,0.27,3.25,2.03,3.00,16.40,12.96,9.50,0.00,8532.00,181.90,2424.00,6886.00,2116.00,2571.00,552.85,297.26,73186.00,65481.00,1009904.00,4478561.00,886546.00,934578.00,101423.00,857895.00,444286.00,618061.00
2023-05-24,-0.37,-2.12,2.78,0.00,1.34,3.81,1.39,0.78,0.25,27.44,1.15,5.13,19.10,14.75,10.40,144.00,2433.00,0.00,951.70,1795.00,1121.00,679.50,164.42,43.93,9479.00,0.00,105141.00,457492.00,53001.00,118791.00,19709.00,592481.00,-43509.00,-322081.00
2023-05-25,-0.40,-3.39,1.36,0.01,1.19,1.39,2.07,0.49,0.26,38.88,0.59,1.46,15.20,13.00,9.20,164.30,1056.00,11.24,840.30,633.60,1700.00,429.10,102.63,94.28,36212.00,1904.00,109862.00,163664.00,275467.00,74370.00,47898.00,2932433.00,102205.00,263373.00
2023-05-26,-0.28,-0.20,4.00,0.00,2.04,8.30,2.81,1.56,0.20,18.07,1.01,4.20,15.40,11.86,7.80,24.27,3349.00,0.00,1442.00,3914.00,2216.00,1366.00,294.04,146.41,26998.00,0.00,353320.00,1322515.00,537704.00,329332.00,35340.00,2127255.00,88836.00,399510.00
2023-05-27,-0.36,-1.90,4.02,0.00,0.04,6.81,0.82,0.49,0.27,22.85,1.18,3.90,16.00,13.17,10.40,133.60,3450.00,0.00,25.51,3224.00,752.20,429.90,203.31,77.50,15478.00,0.00,6579.00,551468.00,50770.00,53277.00,28925.00,1632609.00,51349.00,157366.00
2023-05-28,-0.30,-3.18,1.97,0.00,0.57,1.95,1.18,0.51,0.17,29.82,1.09,3.43,17.50,14.70,12.50,124.50,1623.00,0.00,403.50,925.70,1027.00,449.40,115.66,63.76,1966.00,0.00,6886.00,261196.00,131116.00,119147.00,28526.00,1374637.00,29979.00,78314.00
2023-05-29,-0.35,-0.97,2.48,0.03,1.08,9.64,1.60,0.90,0.22,20.51,1.29,3.14,17.70,14.93,12.70,116.70,2077.00,43.28,763.80,4665.00,1405.00,784.90,243.20,188.83,20691.00,22969.00,275213.00,2405821.00,423062.00,211903.00,74002.00,2515196.00,106258.00,122645.00
2023-05-30,-0.32,0.00,5.02,0.08,2.06,14.05,4.03,0.97,0.29,8.79,1.10,2.67,16.80,14.94,13.60,0.41,4000.00,108.50,1459.00,6699.00,3751.00,845.00,435.37,288.53,77982.00,25606.00,572879.00,4158513.00,1229146.00,308161.00,85882.00,2413958.00,240426.00,582432.00
2023-05-31,-0.39,-2.02,1.22,0.02,0.70,6.95,0.94,0.18,0.22,26.89,1.09,3.67,19.90,16.67,14.20,185.40,797.20,25.83,495.20,3425.00,778.70,153.30,139.16,67.02,11825.00,5622.00,85080.00,728776.00,72056.00,28799.00,26499.00,1327220.00,-10317.00,20395.00
2023-06-01,-0.16,-0.37,3.20,0.00,2.10,12.40,5.43,1.90,0.11,10.08,1.20,2.85,18.30,15.48,12.80,76.25,3045.00,5.44,1488.00,5864.00,4813.00,1663.00,433.58,212.39,33701.00,1255.00,487499.00,2874687.00,1492466.00,480703.00,25962.00,1110721.00,343710.00,863081.00
2023-06-02,-0.35,-1.14,1.63,0.00,0.06,11.48,1.28,1.63,0.31,20.93,1.11,1.70,19.90,16.96,14.50,198.50,1650.00,5.18,43.07,5698.00,1102.00,1425.00,251.63,168.89,50837.00,871.90,10622.00,1943187.00,256566.00,335849.00,65989.00,3218290.00,230571.00,354780.00
2023-06-03,-0.28,-2.76,0.89,0.01,0.00,8.72,0.76,0.23,0.18,19.37,1.96,4.80,25.00,19.88,14.90,338.50,862.70,7.47,0.00,4273.00,591.70,201.70,165.27,72.84,6821.00,306.10,0.00,697405.00,72331.00,37385.00,24148.00,1210165.00,117074.00,345634.00
2023-06-04,-0.24,-3.60,0.58,0.00,0.97,0.02,1.02,0.00,0.23,32.13,0.74,2.63,22.00,19.34,17.70,136.10,493.90,0.00,684.20,11.59,929.20,0.00,57.51,27.07,-5436.00,0.00,22082.00,71.44,46092.00,0.00,10115.00,791061.00,-22107.00,-5294.00
2023-06-05,-0.25,-0.60,9.71,0.00,0.23,4.36,1.32,0.12,0.19,20.65,0.73,2.25,19.70,17.09,15.10,22.66,6822.00,0.00,160.00,2063.00,1135.00,101.30,265.07,67.92,9688.00,0.00,3454.00,393821.00,117526.00,16657.00,20601.00,1092320.00,56502.00,150397.00
2023-06-06,-0.94,-5.38,1.92,0.00,1.11,2.71,0.82,0.79,0.64,29.23,1.53,5.26,23.50,18.67,14.70,547.40,1332.00,0.00,789.30,1241.00,769.80,689.60,113.42,32.01,13126.00,0.00,43837.00,113671.00,45730.00,41179.00,24471.00,790938.00,30447.00,30473.00
2023-06-07,-0.46,-3.84,0.53,0.00,1.68,0.02,1.05,0.45,0.52,33.99,1.31,2.82,21.50,17.98,13.60,306.80,344.90,0.00,1189.00,10.87,1372.00,392.90,78.85,3.26,2243.00,0.00,5707.00,-402.90,2113.00,-960.60,145.30,62661.00,-4737.00,-3545.00
2023-06-08,-0.24,-2.36,1.90,0.00,0.99,0.18,0.73,0.00,0.19,33.26,1.86,4.06,17.10,14.27,12.30,83.52,1295.00,0.00,700.10,9.95,694.90,0.00,64.49,10.67,-5197.00,0.00,7461.00,3679.00,5540.00,0.00,2288.00,290170.00,-21920.00,-81592.00
2023-06-09,-0.18,-0.31,6.83,0.00,0.84,5.47,1.52,0.76,0.08,18.85,1.55,4.40,15.90,13.18,10.50,18.47,4950.00,5.05,597.00,2549.00,1239.00,667.30,250.94,72.88,1639.00,783.40,113912.00,689507.00,171488.00,137490.00,10417.00,454220.00,18155.00,79114.00
2023-06-10,-0.37,0.00,15.72,0.01,0.05,8.82,1.88,1.15,0.33,3.34,1.74,4.26,16.40,11.94,9.40,0.00,11915.00,16.89,35.40,4143.00,1681.00,1007.00,508.97,139.20,27616.00,2635.00,13812.00,1339061.00,303062.00,198508.00,62531.00,417787.00,50908.00,99374.00
2023-06-11,-0.19,-0.03,10.30,0.00,0.59,5.21,1.31,0.54,0.16,13.86,1.19,3.22,17.20,13.34,8.80,5.06,9421.00,0.00,416.50,2466.00,1247.00,474.70,387.77,101.43,14180.00,0.00,65560.00,579878.00,161347.00,91508.00,24875.00,1294930.00,90375.00,217446.00
2023-06-12,-0.27,-5.45,0.31,0.00,0.98,0.11,0.87,0.00,0.10,33.79,0.93,5.12,19.20,15.00,12.60,211.40,265.20,0.00,696.40,52.21,783.20,0.00,43.45,7.14,-8960.00,0.00,-1496.00,8650.00,6097.00,0.00,3498.00,160208.00,-37992.00,-305134.00
2023-06-13,-0.19,-5.65,0.45,0.00,1.16,1.55,1.76,0.70,0.19,36.64,1.43,4.18,16.10,13.55,11.60,380.00,298.50,0.31,821.00,719.90,1503.00,614.70,84.70,35.96,-722.30,11.23,64366.00,158877.00,134334.00,93218.00,15259.00,1022144.00,-21237.00,-74472.00
2023-06-14,-0.29,-0.68,4.74,0.00,0.81,5.54,1.77,1.30,0.20,23.77,1.66,3.33,14.80,12.42,9.80,78.31,3242.00,0.00,574.00,2625.00,1532.00,1135.00,214.28,67.03,6866.00,0.00,97594.00,484843.00,179759.00,171791.00,27737.00,1345197.00,64426.00,155831.00
2023-06-15,-0.32,-3.81,0.81,0.00,1.43,2.89,0.63,0.69,0.21,34.34,2.06,3.38,16.80,13.13,10.40,311.20,496.90,0.00,1012.00,1307.00,577.80,605.70,87.17,39.95,589.40,0.00,86614.00,238054.00,27390.00,80679.00,18344.00,1138300.00,29667.00,43425.00
2023-06-16,-0.29,-5.56,0.03,0.00,1.08,0.02,1.25,0.00,0.12,37.90,0.70,5.58,18.70,13.90,10.50,319.60,15.38,0.00,764.70,11.54,1643.00,0.00,51.80,-35.38,-13019.00,0.00,-43596.00,-306.10,-52668.00,0.00,-4159.00,-1306167.00,-56513.00,-325660.00
2023-06-17,-0.16,-3.00,5.27,0.01,1.78,0.68,0.26,0.36,0.19,30.77,0.79,2.20,14.30,12.06,7.60,103.30,3390.00,9.56,1259.00,321.30,312.60,315.50,140.65,2.35,-6736.00,1023.00,-31473.00,62900.00,25274.00,41310.00,8609.00,-489440.00,-44414.00,-116388.00
2023-06-18,-0.27,-2.09,6.23,0.00,1.57,1.69,0.00,0.00,0.09,24.26,1.70,4.98,15.30,10.75,6.40,86.88,4538.00,0.00,1112.00,800.90,2.45,0.00,166.88,0.61,-5474.00,0.00,-19354.00,65151.00,-6.38,0.00,1367.00,-239907.00,-62225.00,-228644.00
2023-06-19,-0.15,-4.63,3.20,0.16,4.25,6.62,0.72,1.03,0.21,24.32,1.22,4.92,13.80,11.63,7.80,271.90,2446.00,230.00,3011.00,3049.00,548.90,900.30,236.83,100.68,10717.00,42793.00,682835.00,1121915.00,140220.00,209039.00,39238.00,721372.00,38209.00,159763.00
2023-06-20,-0.38,-3.43,6.11,0.12,6.78,13.73,2.79,1.71,0.21,9.71,1.11,3.76,15.10,10.86,7.50,1250.00,5397.00,162.80,4803.00,6405.00,2250.00,1493.00,456.31,196.67,58637.00,42800.00,1520687.00,2700276.00,657097.00,406164.00,54316.00,1770776.00,163529.00,563349.00
2023-06-21,-0.24,-8.63,0.06,0.01,3.79,11.45,0.37,0.96,0.14,35.70,0.30,1.55,13.60,10.92,9.50,1624.00,48.06,7.55,2689.00,5618.00,291.30,835.60,173.01,95.64,11813.00,404.50,400906.00,1082752.00,46167.00,117162.00,14744.00,3275632.00,26433.00,131306.00
2023-06-22,-0.19,-2.32,0.64,0.00,2.70,8.85,0.53,0.58,0.20,34.82,0.74,0.83,11.30,10.21,8.30,370.60,473.00,4.69,1912.00,4163.00,428.00,506.10,150.20,114.01,19497.00,620.60,314904.00,1042022.00,62710.00,67249.00,25587.00,3902406.00,112288.00,126911.00
2023-06-23,-0.31,-5.58,0.18,0.00,1.52,5.05,0.98,1.35,0.24,34.49,1.30,4.19,14.80,12.53,10.60,661.10,133.20,0.88,1081.00,2393.00,813.40,1177.00,113.74,102.20,24474.00,115.60,170221.00,586082.00,128839.00,200594.00,31577.00,3318441.00,158712.00,373186.00
2023-06-24,-0.29,-5.26,0.45,0.00,1.00,0.32,0.88,0.00,0.10,40.00,1.08,3.49,13.50,11.73,10.10,200.10,285.30,1.91,711.40,153.80,852.00,0.03,43.18,-15.17,-8559.00,28.91,-17841.00,927.40,-12141.00,-2.15,-653.30,-613371.00,-38922.00,-211914.00
2023-06-25,-0.21,-3.35,1.14,0.00,0.99,0.00,0.78,0.00,0.17,36.61,1.13,3.34,14.50,12.04,9.50,112.50,723.80,0.00,704.70,0.00,736.00,0.00,50.53,-15.64,-5327.00,0.00,-21261.00,0.00,-11169.00,0.00,7373.00,-708224.00,-35787.00,-139550.00
2023-06-26,-0.35,-0.08,9.52,0.24,2.13,6.27,4.54,1.71,0.36,12.86,1.40,3.93,15.60,12.47,10.70,3.22,6972.00,347.80,1511.00,2852.00,4454.00,1495.00,414.45,168.95,36048.00,78211.00,456773.00,1510122.00,1158350.00,441347.00,81364.00,551766.00,219915.00,561962.00
2023-06-27,-0.33,0.00,13.31,0.44,3.74,11.83,5.09,2.01,0.27,7.23,0.29,1.62,12.10,10.84,9.70,0.00,10777.00,562.70,2649.00,5430.00,5058.00,1760.00,576.54,244.41,42294.00,148533.00,1067434.00,3075869.00,1408220.00,523217.00,81453.00,1151652.00,87754.00,496654.00
2023-06-28,-0.40,-0.13,4.50,0.87,4.80,14.67,4.17,2.39,0.18,5.80,1.44,4.19,15.10,10.73,8.20,37.48,4223.00,1177.00,3399.00,7055.00,3780.00,2087.00,510.44,497.59,101126.00,565919.00,2252498.00,7516666.00,3158176.00,1548931.00,241135.00,2151086.00,354736.00,855874.00
2023-06-29,-0.24,-0.31,2.61,0.83,4.06,14.34,2.64,1.27,0.21,11.85,1.69,4.12,13.40,9.90,5.60,73.01,1787.00,1158.00,2876.00,6888.00,2576.00,1109.00,378.99,186.40,30207.00,333897.00,966466.00,2997385.00,556515.00,258305.00,60763.00,1726754.00,77873.00,201260.00
2023-06-30,-0.14,-0.03,7.41,0.00,1.38,12.36,0.49,1.16,0.15,15.14,1.15,3.04,15.00,12.12,10.00,4.30,4810.00,0.00,979.00,6103.00,394.70,1012.00,315.64,74.55,4609.00,0.00,111489.00,893720.00,59407.00,135852.00,15082.00,968128.00,36172.00,93816.00
2023-07-01,-0.36,-0.01,10.33,0.00,3.11,9.52,1.47,1.88,0.27,5.69,1.15,4.38,15.00,11.28,7.30,2.96,8094.00,0.00,2205.00,4508.00,1117.00,1642.00,469.27,125.46,26950.00,0.00,458967.00,1171392.00,248917.00,305973.00,45525.00,646727.00,93151.00,313746.00
2023-07-02,-0.31,-0.26,8.06,0.00,3.74,10.53,1.03,1.58,0.15,10.22,1.35,3.18,13.20,9.58,6.00,40.86,7269.00,0.00,2649.00,5052.00,740.60,1379.00,434.27,130.80,32713.00,0.00,547776.00,1417559.00,178596.00,267982.00,30913.00,1062284.00,107818.00,305391.00
2023-07-03,-0.20,-0.01,10.52,0.03,4.78,15.68,2.56,2.29,0.23,6.22,0.47,2.20,12.90,9.81,6.50,2.04,8780.00,45.92,3385.00,7440.00,2330.00,2004.00,535.63,222.55,45202.00,12420.00,1152479.00,3527042.00,715709.00,603133.00,64236.00,841695.00,133360.00,595473.00
2023-07-04,-0.43,-0.33,7.83,0.00,4.20,13.77,0.97,2.09,0.44,8.90,1.38,4.49,14.50,10.74,7.70,97.28,7346.00,0.50,2976.00,6792.00,743.40,1824.00,452.23,185.35,75296.00,99.62,857554.00,2624184.00,215835.00,455479.00,105937.00,1423822.00,280169.00,872244.00
2023-07-05,-0.31,-3.25,0.74,0.01,1.04,0.03,1.70,0.47,0.22,35.18,1.94,4.78,17.00,12.91,9.10,132.50,660.50,9.87,738.70,12.67,1493.00,412.40,75.08,72.24,15206.00,1033.00,71825.00,2580.00,157942.00,53715.00,22452.00,2368499.00,92617.00,134134.00
