date,Exports -  GWh,Imports -  GWh,Gas (OCGT) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Gas (OCGT) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-05-18,-6.76,0.85,0.45,36.35,2.49,0.64,13.50,8.25,3.10,64.87,846.90,298.80,31.77,97.65,29294.00,3453590.00,226246.00,84372.00
2023-05-19,-7.93,0.25,0.37,39.43,1.52,0.53,10.90,8.02,6.00,52.35,254.00,247.50,13.15,74.52,19551.00,2862201.00,126456.00,35403.00
2023-05-20,-5.63,2.45,0.00,28.24,7.55,0.57,12.40,8.79,5.10,0.00,1771.00,0.00,53.38,74.28,0.00,2090390.00,555836.00,39108.00
2023-05-21,-3.23,6.22,0.00,19.75,9.71,0.55,11.90,9.21,6.90,0.00,4369.00,0.00,132.39,38.22,0.00,933013.00,336218.00,16547.00
2023-05-22,-7.60,0.51,0.19,30.78,9.75,0.47,18.00,14.18,10.30,27.00,418.60,125.10,15.15,67.92,10223.00,2065724.00,657587.00,36094.00
2023-05-23,-7.67,1.30,0.24,32.62,6.55,0.27,16.10,14.21,12.80,33.97,1126.00,156.70,37.48,75.56,20454.00,2434935.00,447427.00,26648.00
2023-05-24,-3.80,4.05,0.00,20.85,9.87,0.27,19.40,15.94,12.90,0.00,2693.00,0.00,86.19,52.64,0.00,1288427.00,506038.00,7774.00
2023-05-25,-4.03,3.27,0.00,22.94,11.14,0.24,16.90,12.23,6.30,0.00,2245.00,0.00,66.91,60.61,0.00,1598593.00,658560.00,24347.00
2023-05-26,-6.29,1.49,0.00,28.52,10.61,0.49,14.80,10.03,5.90,0.00,1234.00,0.00,35.44,50.05,0.00,1525694.00,521110.00,19494.00
2023-05-27,-5.05,1.30,0.00,24.33,11.88,0.36,15.10,12.68,10.60,0.00,989.80,0.00,30.16,45.64,0.00,1216427.00,539572.00,12288.00
2023-05-28,-2.27,3.74,0.00,23.23,6.82,0.31,15.80,12.10,9.80,0.00,2695.00,0.00,84.67,41.89,0.00,1200691.00,240256.00,8119.00
2023-05-29,-4.04,1.43,0.00,25.38,10.84,0.56,12.10,9.96,7.40,0.00,1048.00,0.00,30.67,39.36,0.00,1129798.00,385076.00,11675.00
2023-05-30,-4.85,0.00,0.00,25.49,11.84,0.39,18.10,13.74,9.20,0.00,0.00,0.00,0.00,46.18,0.00,1204466.00,535961.00,12647.00
2023-05-31,-1.32,2.98,0.00,18.20,12.30,0.28,19.30,14.98,11.90,0.00,1873.00,0.00,57.73,80.20,0.00,1695198.00,890256.00,128362.00
2023-06-01,-5.97,2.08,0.01,27.42,9.98,0.56,12.50,10.10,6.80,1.72,1341.00,8.22,39.54,42.00,693.00,1376282.00,389752.00,23043.00
2023-06-02,-9.92,0.00,0.48,41.23,2.31,0.57,14.20,10.04,7.40,68.74,0.00,319.10,7.22,61.86,25547.00,2547977.00,147035.00,33708.00
