date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Gas (Steam) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Coal (Brown) Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-05-18,-0.60,-11.02,10.29,112.80,1.96,4.04,0.65,11.60,8.76,2.94,6.96,13.50,9.19,5.90,10628.00,2285.00,135089.00,1118.00,2605.00,879.22,194.91,88635.00,21255974.00,488448.00,1023501.00,156379.00,2688150.00,1678869.00,463932.00,1046567.00
2023-05-19,-0.77,-13.73,9.56,111.10,0.99,3.80,0.49,9.55,15.93,2.85,6.38,14.30,10.65,6.00,12790.00,1126.00,133017.00,563.60,2491.00,851.25,186.05,102493.00,20123228.00,225008.00,919675.00,121415.00,2132427.00,2876402.00,456645.00,841832.00
2023-05-20,-0.56,-14.65,10.01,86.80,0.00,0.63,0.55,2.39,38.07,2.21,5.95,14.80,11.67,8.70,11562.00,1871.00,105191.00,0.00,484.70,730.58,113.30,66627.00,9788515.00,0.00,131699.00,85591.00,334669.00,3473173.00,251365.00,530855.00
2023-05-21,-0.42,-23.20,4.57,89.64,0.00,0.60,0.42,5.19,41.88,2.33,6.08,14.40,12.44,10.70,17085.00,514.50,108232.00,0.00,420.80,724.51,85.95,3292.00,7436765.00,0.00,146368.00,76054.00,1151452.00,1551412.00,73810.00,166378.00
2023-05-22,-0.84,-19.31,9.22,100.40,2.57,4.18,0.68,9.38,22.21,4.54,8.31,16.00,12.36,7.70,16841.00,1037.00,120954.00,1466.00,2928.00,775.01,194.31,77816.00,18093343.00,804869.00,1325892.00,189861.00,2706573.00,3587469.00,529922.00,795661.00
2023-05-23,-0.73,-16.40,9.30,101.40,2.58,4.72,0.68,11.56,15.06,4.07,8.41,16.40,12.84,9.80,14602.00,1123.00,122212.00,1470.00,3062.00,805.28,237.05,113982.00,22883693.00,788149.00,1459412.00,194066.00,3435872.00,3309792.00,509045.00,902976.00
2023-05-24,-1.10,-23.16,6.16,94.60,0.00,1.38,0.81,3.22,46.74,4.01,9.06,15.60,12.88,9.90,17471.00,297.10,114050.00,2.40,852.60,689.62,58.05,43006.00,6116902.00,1060.00,74100.00,54502.00,233872.00,2150125.00,78065.00,31540.00
2023-05-25,-0.65,-14.56,9.69,97.71,0.00,2.31,0.60,1.52,46.69,0.97,2.74,14.90,12.91,10.60,10581.00,1563.00,117545.00,0.00,1544.00,748.67,85.43,20694.00,8268981.00,0.00,365973.00,77681.00,229207.00,2508984.00,114801.00,339773.00
2023-05-26,-1.02,-21.43,6.72,108.40,0.00,1.93,0.86,7.73,32.57,3.53,7.29,13.80,10.91,7.70,18023.00,169.90,130174.00,0.00,1343.00,775.45,131.00,60195.00,13387905.00,0.00,338580.00,154278.00,1492116.00,3724845.00,357144.00,526243.00
2023-05-27,-0.72,-27.61,7.26,107.20,0.00,0.34,0.63,2.23,35.14,1.63,6.20,15.40,12.41,10.10,23860.00,323.30,128407.00,0.00,194.50,794.11,69.44,29368.00,7584525.00,0.00,18210.00,55056.00,278340.00,2015279.00,69002.00,203877.00
2023-05-28,-0.63,-27.32,5.74,98.52,0.00,0.03,0.48,2.19,45.42,1.96,3.92,15.70,12.12,11.00,20845.00,307.30,118100.00,0.00,19.80,748.83,61.89,3702.00,5966035.00,0.00,7455.00,72960.00,418821.00,1788867.00,71764.00,109552.00
2023-05-29,-0.67,-19.76,5.11,100.80,0.00,0.67,0.55,5.27,39.42,2.63,6.33,16.50,13.94,10.90,15742.00,180.20,121144.00,0.00,498.50,755.77,66.49,9723.00,6496928.00,0.00,124975.00,75941.00,825535.00,1772953.00,75273.00,138116.00
2023-05-30,-0.70,-18.91,5.00,98.49,0.00,0.00,0.64,0.95,46.44,1.10,4.45,18.50,15.22,12.90,14890.00,103.20,118417.00,0.00,2.11,753.87,29.34,12514.00,2878279.00,0.00,65.05,45148.00,43401.00,1118814.00,24922.00,49236.00
2023-05-31,-0.64,-27.34,3.39,81.68,0.00,0.05,0.49,0.52,72.81,1.40,3.40,17.40,16.15,14.90,17085.00,220.50,98297.00,0.00,41.65,600.14,-1.38,-5506.00,-124426.00,0.00,397.30,1691.00,469.20,-125479.00,-3.86,4444.00
2023-06-01,-0.77,-15.59,7.42,100.20,0.00,2.11,0.70,8.63,21.33,3.01,7.77,17.00,13.32,9.10,12292.00,817.50,120566.00,0.00,1410.00,819.64,111.49,14858.00,10505270.00,0.00,514867.00,113695.00,1934167.00,163959.00,177934.00,408864.00
