date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2022-12-01,-0.23,-1.21,3.71,0.00,1.96,0.00,0.00,0.19,0.19,16.65,3.13,12.88,25.60,18.46,11.10,247.70,2841.00,0.00,1387.00,0.00,3.39,165.80,44.47,89.70,-4890.00,-46717.00,-443061.00,0.00,109654.00,0.00,214.10,23896.00,16034.00,1530878.00,-40901.00,-413880.00
2022-12-02,-0.21,-0.13,4.86,0.00,1.78,1.31,0.06,0.50,0.16,13.56,3.55,12.72,27.50,22.12,14.40,785.40,3915.00,0.00,1260.00,622.10,72.86,440.10,71.17,117.33,3661.00,-1443.00,-673052.00,0.00,142203.00,249635.00,12118.00,110884.00,30449.00,1611219.00,88593.00,119008.00
2022-12-03,-0.19,-0.10,8.38,0.00,1.94,1.97,0.56,0.83,0.09,9.08,3.91,12.59,33.30,25.49,14.80,2004.00,7502.00,0.24,1377.00,931.20,546.90,722.90,115.55,128.55,5079.00,-4567.00,-1159425.00,38.84,195893.00,366056.00,127453.00,185219.00,10954.00,1046054.00,95600.00,263978.00
2022-12-04,-0.15,-3.43,3.15,0.00,1.58,2.33,0.52,0.68,0.15,20.86,3.57,11.35,35.10,23.95,16.20,446.70,2484.00,0.00,1122.00,1104.00,527.00,593.30,81.54,82.06,8088.00,87527.00,-291234.00,0.00,85796.00,284638.00,85790.00,93923.00,18776.00,1572810.00,83863.00,99139.00
2022-12-05,-0.27,-3.00,2.16,0.00,1.38,0.00,1.78,0.00,0.19,23.78,2.14,10.63,22.10,17.43,13.00,172.20,1542.00,5.03,975.20,0.00,1426.00,0.00,60.30,37.50,-25683.00,-178287.00,-169522.00,-156.00,-51219.00,0.00,11658.00,0.00,8357.00,606211.00,-106808.00,-536904.00
2022-12-06,-0.23,-0.27,5.44,0.00,1.17,3.46,1.88,0.35,0.13,13.96,1.76,9.65,26.80,18.58,10.80,1571.00,4793.00,0.00,828.00,1640.00,1795.00,303.00,141.14,214.76,37753.00,-623.40,-716301.00,0.00,584563.00,2003242.00,717573.00,67495.00,434607.00,2680259.00,531183.00,1221660.00
2022-12-07,-0.27,-5.02,2.37,0.00,2.07,2.55,0.86,0.10,0.25,22.43,1.55,11.20,20.40,16.52,12.10,622.30,2322.00,0.00,1466.00,1207.00,699.30,91.18,84.45,30.55,-14975.00,-375477.00,-325090.00,0.00,-37946.00,356928.00,-54412.00,12850.00,3885.00,88887.00,-91385.00,-1135910.00
2022-12-08,-0.20,-1.43,3.01,0.00,1.34,3.51,0.17,0.10,0.14,16.03,3.21,11.18,20.60,14.75,8.80,425.40,2546.00,0.00,946.30,1663.00,160.40,87.86,80.11,39.60,5774.00,-35798.00,-93700.00,0.00,-11622.00,297998.00,-5059.00,11455.00,13752.00,768815.00,-133964.00,-688259.00
2022-12-09,-0.19,-2.26,3.21,0.00,0.82,4.04,0.85,0.44,0.19,15.27,3.43,10.58,26.60,19.31,12.70,758.90,2784.00,0.00,579.70,1916.00,729.00,384.00,101.32,75.91,2411.00,81870.00,-313173.00,0.00,26466.00,372501.00,22871.00,58167.00,19407.00,1200116.00,-4051.00,-158266.00
2022-12-10,-0.21,-6.03,0.80,0.00,1.10,2.48,1.12,0.00,0.15,27.97,2.04,10.48,35.10,25.76,19.00,157.10,775.30,0.00,781.90,1174.00,893.20,0.00,62.84,43.61,-8141.00,31700.00,-100186.00,0.00,41864.00,290643.00,-19825.00,0.00,10549.00,997948.00,-82595.00,-490142.00
2022-12-11,-0.28,-5.13,4.42,0.00,1.02,1.51,1.31,0.07,0.23,21.12,2.49,7.54,21.90,17.84,13.80,855.80,3516.00,0.00,725.50,713.20,1046.00,56.93,72.04,24.82,-11723.00,-989.70,-91555.00,0.00,7584.00,100199.00,-19839.00,7158.00,10448.00,522030.00,-226964.00,-679930.00
2022-12-12,-0.31,-6.41,0.63,0.00,1.46,0.18,0.75,0.05,0.23,28.55,2.06,10.23,18.40,15.18,12.70,40.29,510.60,0.00,1036.00,87.50,602.60,41.05,40.60,-12.35,-32232.00,-213669.00,18603.00,0.00,-45888.00,10446.00,-45480.00,-3575.00,-9246.00,-367163.00,-222035.00,-1033345.00
2022-12-13,-0.23,-3.62,2.34,0.00,1.66,1.31,0.01,0.03,0.19,24.66,2.29,8.61,19.00,15.09,11.80,225.60,1828.00,4.60,1176.00,622.70,9.04,25.30,47.39,9.50,-7781.00,-165479.00,-51418.00,-221.20,-15129.00,72361.00,-431.60,-1675.00,5612.00,177778.00,-121033.00,-540997.00
2022-12-14,-0.31,-3.33,3.34,0.00,1.96,0.00,0.16,0.03,0.16,21.91,3.10,8.90,19.00,14.04,9.80,343.90,2380.00,0.00,1391.00,0.00,172.70,23.00,43.80,9.84,-3153.00,-126422.00,-50677.00,0.00,-5731.00,0.00,772.00,-1441.00,5522.00,137959.00,-133225.00,-457283.00
2022-12-15,-0.17,-3.66,0.44,0.00,1.96,0.00,0.00,0.00,0.11,23.82,3.46,10.87,20.90,14.84,9.30,19.53,328.80,0.00,1391.00,0.00,3.39,0.00,34.66,0.88,-4906.00,-176115.00,-12911.00,0.00,-25423.00,0.00,-47.41,0.00,-934.90,73355.00,-187535.00,-655044.00
2022-12-16,-0.30,-4.42,0.14,0.00,1.96,0.00,0.00,0.00,0.27,23.33,2.69,12.80,22.00,16.44,11.20,6.20,110.30,2.24,1391.00,0.00,3.39,0.00,34.01,5.29,-12152.00,-175372.00,-3349.00,-12.17,-23568.00,0.00,-44.57,0.00,-5649.00,103783.00,-141717.00,-726569.00
