date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2023-11-23 10:00,-77.11,0.00,480.60,-0.10,80.00,0.00,0.10,0.00,0.00,800.20,262.40,204.00,15.20,0.00,-35.99
2023-11-23 10:05,-90.59,0.00,351.30,-0.10,84.00,0.00,0.10,0.00,2.99,907.00,249.20,214.65,15.12,0.00,-13.37
2023-11-23 10:10,-93.05,0.00,348.90,-0.10,80.00,0.00,0.10,0.00,0.14,959.80,238.30,225.30,15.03,0.00,-35.23
2023-11-23 10:15,-92.12,0.00,338.60,0.00,80.00,0.00,0.09,0.00,0.17,946.70,260.70,235.95,14.95,0.00,-46.77
2023-11-23 10:20,-62.09,0.00,511.50,0.00,80.00,0.00,0.10,0.00,0.00,811.30,203.50,246.60,14.87,0.00,-53.22
2023-11-23 10:25,-75.26,0.00,652.20,0.00,90.00,0.00,0.09,0.00,0.15,745.60,167.70,257.25,14.78,0.00,-46.77
2023-11-23 10:30,-76.05,0.00,531.70,-0.10,81.00,0.00,0.09,0.00,0.00,761.80,238.30,267.90,14.70,0.00,-52.87
2023-11-23 10:35,-68.67,0.00,516.30,0.00,80.00,0.00,0.09,0.00,0.00,823.50,192.80,276.15,14.77,0.00,-53.22
2023-11-23 10:40,-95.45,0.00,556.60,0.00,82.00,0.00,0.10,0.00,0.00,763.30,224.10,284.40,14.83,0.00,-52.87
2023-11-23 10:45,-69.25,0.00,660.50,-0.10,86.00,0.00,0.10,0.00,0.00,737.50,121.30,292.65,14.90,0.00,-47.00
2023-11-23 10:50,-41.53,0.00,611.30,0.00,85.00,0.00,0.10,0.00,0.00,785.80,84.42,300.90,14.97,0.00,-3.67
2023-11-23 10:55,-98.34,0.00,596.70,0.00,80.00,0.00,0.10,0.00,0.20,871.80,70.54,309.15,15.03,0.00,-53.22
2023-11-23 11:00,-45.76,0.00,547.60,0.00,81.00,0.00,0.09,0.00,0.00,847.70,89.45,317.40,15.10,0.00,-43.21
2023-11-23 11:05,-10.14,0.00,465.90,0.00,89.00,0.00,0.10,0.00,9.25,862.80,83.36,323.73,15.12,0.00,7.22
2023-11-23 11:10,-95.18,0.00,461.30,-0.10,80.00,0.00,0.10,0.00,1.36,949.00,64.17,330.07,15.13,0.00,-37.15
2023-11-23 11:15,-86.39,0.00,460.30,-0.10,81.00,0.00,0.09,0.00,0.13,940.00,60.76,336.40,15.15,0.00,-40.00
2023-11-23 11:20,-13.77,0.00,395.60,-0.10,80.00,0.00,0.10,0.00,0.00,946.00,60.35,342.73,15.17,0.00,9.99
2023-11-23 11:25,-87.60,0.00,466.80,-0.10,92.00,0.00,0.09,0.00,6.34,930.10,63.50,349.07,15.18,0.00,-22.31
2023-11-23 11:30,-62.46,0.00,493.70,-0.10,90.00,0.00,0.10,0.00,0.00,894.40,81.68,355.40,15.20,0.00,-35.63
2023-11-23 11:35,-81.48,0.00,516.00,-0.10,82.00,0.00,0.09,0.00,0.00,857.00,109.50,354.43,15.13,0.00,-24.77
2023-11-23 11:40,-67.54,0.00,454.70,-0.10,80.00,0.00,0.10,0.00,0.00,869.30,132.20,353.47,15.07,0.00,-43.21
2023-11-23 11:45,-50.62,0.00,454.80,-0.10,80.00,0.00,0.09,0.00,0.00,858.30,144.80,352.50,15.00,0.00,-47.00
2023-11-23 11:50,-51.44,0.00,677.80,-0.10,80.00,0.00,0.10,0.00,0.00,676.20,126.20,351.53,14.93,0.00,-46.65
2023-11-23 11:55,-70.74,0.00,678.80,-0.10,79.00,0.00,0.09,0.00,0.00,704.00,127.60,350.57,14.87,0.00,16.57
2023-11-23 12:00,-81.84,0.00,530.30,-0.10,80.00,0.00,0.10,0.00,0.10,806.70,138.70,349.60,14.80,0.00,-38.28
2023-11-23 12:05,-24.90,0.00,448.90,-0.10,86.00,0.00,0.09,0.00,0.00,818.80,142.10,343.63,14.80,0.00,-43.21
2023-11-23 12:10,-57.75,0.00,517.90,-0.10,87.00,0.00,0.10,0.00,6.05,814.90,132.30,337.67,14.80,0.00,-37.62
2023-11-23 12:15,-57.22,0.00,519.10,0.00,80.00,0.00,0.10,0.00,0.00,818.00,119.20,331.70,14.80,0.00,29.94
2023-11-23 12:20,-8.32,0.00,387.40,0.00,79.00,0.00,0.08,0.00,0.00,891.70,117.90,325.73,14.80,0.00,0.02
2023-11-23 12:25,-0.85,0.00,361.90,0.00,80.00,0.00,0.10,0.00,0.00,937.60,116.30,319.77,14.80,0.00,0.02
2023-11-23 12:30,-0.16,0.00,332.10,0.00,80.00,0.00,0.10,0.00,0.42,962.40,118.40,313.80,14.80,0.00,21.62
2023-11-23 12:35,-0.14,0.00,300.10,0.00,81.00,0.00,0.10,0.00,0.53,985.70,120.80,312.75,14.88,0.00,-33.14
2023-11-23 12:40,-58.28,0.00,362.50,0.00,80.00,0.00,0.10,0.00,0.00,973.70,123.00,311.70,14.97,0.00,9.65
2023-11-23 12:45,-6.05,0.00,281.30,0.00,80.00,0.00,0.10,0.00,0.00,986.50,119.60,310.65,15.05,0.00,28.56
2023-11-23 12:50,-13.65,0.00,299.70,0.00,80.00,0.00,0.09,0.00,0.28,965.60,123.60,309.60,15.13,0.00,33.92
2023-11-23 12:55,-26.22,0.00,348.80,0.00,80.00,0.00,0.09,0.00,0.00,943.40,136.60,308.55,15.22,0.00,31.33
2023-11-23 13:00,-8.30,0.00,346.10,0.00,80.00,0.00,0.09,0.00,0.00,948.70,137.80,307.50,15.30,0.00,7.33
2023-11-23 13:05,-12.12,0.00,335.50,0.00,80.00,0.00,0.10,0.00,0.00,974.90,128.00,304.07,15.47,0.00,24.53
2023-11-23 13:10,-56.04,0.00,390.30,0.00,80.00,0.00,0.09,0.00,0.00,960.10,116.20,300.63,15.63,0.00,0.00
2023-11-23 13:15,-56.29,0.00,412.30,0.00,80.00,0.00,0.10,0.00,0.00,964.40,108.00,297.20,15.80,0.00,10.09
2023-11-23 13:20,-61.18,0.00,457.20,-0.10,80.00,0.00,0.09,0.00,0.00,959.70,97.66,293.77,15.97,0.00,27.55
2023-11-23 13:25,-56.16,0.00,417.40,-0.10,81.00,0.00,0.09,0.00,0.00,979.80,97.08,290.33,16.13,0.00,21.55
2023-11-23 13:30,-46.14,0.00,402.50,-0.10,86.00,0.00,0.09,0.00,4.50,974.90,96.90,286.90,16.30,0.00,30.05
2023-11-23 13:35,-41.67,0.00,394.70,-0.10,90.00,0.00,0.09,0.00,10.40,958.60,94.63,279.80,16.36,0.00,39.76
2023-11-23 13:40,-50.12,0.00,380.20,-0.10,79.00,0.00,0.10,0.00,0.50,1006.00,89.13,272.70,16.42,0.00,21.41
2023-11-23 13:45,-50.17,0.00,340.00,-0.10,79.00,0.00,0.08,0.00,0.20,1045.00,97.77,265.60,16.48,0.00,-14.50
