date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2022-11-01,-0.46,-2.39,8.65,0.00,3.10,5.87,0.38,0.58,0.40,26.39,6.97,21.82,22.60,16.12,10.00,1563.50,6850.00,0.00,2195.00,2779.50,338.75,504.90,88.82,110.65,6931.00,-55600.00,-1087734.00,0.00,188613.00,819470.00,58132.00,102039.00,43845.00,2886674.00,-12050.00,-223308.00
2022-12-01,-6.54,-93.09,102.61,0.02,50.54,88.80,15.31,5.52,4.84,595.48,83.56,342.90,40.70,20.64,8.80,22319.50,87371.10,24.14,35808.60,42390.20,13548.64,4826.66,81.38,54.82,-78973.30,-2289717.10,-8587279.00,3590.35,1831379.00,10155876.00,1371203.34,852572.87,737684.60,21223773.00,-830795.00,-6097606.00
2023-01-01,-5.98,-65.70,108.76,2.76,44.91,146.32,12.27,8.92,4.43,585.19,90.92,335.01,39.70,22.85,12.50,27054.78,97777.66,3939.35,31818.10,70354.57,12244.37,7793.16,102.50,75.61,123133.00,-742164.40,-9754394.87,321023.25,2035970.50,17786883.90,2223916.61,1745621.58,481190.10,28887882.00,2336060.00,3625011.00
2023-02-01,-6.78,-51.38,126.85,1.58,45.84,133.40,18.80,7.92,5.26,503.51,89.88,290.68,39.80,22.23,10.90,30493.22,101999.20,2195.53,32483.00,62996.50,19431.17,6920.81,113.07,146.97,234475.10,-542674.50,-12831757.00,3031601.15,8569833.00,29968880.00,12639914.03,4908129.85,1478423.90,33607684.00,4018516.00,5896504.00
2023-03-01,-7.61,-63.59,136.23,0.03,37.08,205.78,16.92,9.86,5.77,447.13,78.02,251.84,33.30,19.23,11.00,39755.65,118564.80,47.10,26275.00,99032.40,15106.14,8617.58,141.65,77.89,198508.72,254997.00,-11512453.00,6360.74,2082030.00,23258112.00,1818492.61,1544855.13,610387.00,23090202.00,855489.00,471021.10
2023-04-01,-7.77,-84.98,102.10,1.20,21.57,220.07,34.61,15.47,5.94,471.31,64.26,197.38,28.70,17.35,8.70,38689.56,87562.83,1743.80,15285.49,109424.10,32487.29,13524.01,167.15,98.19,300922.20,1907217.70,-11556669.00,258684.58,2793082.00,27188200.00,5151024.50,3159327.00,875440.00,29133044.00,2203154.00,4078800.00
2023-05-01,-9.44,-33.88,174.45,1.39,51.77,293.50,67.54,37.75,6.90,431.09,53.88,134.73,25.10,13.50,4.90,68130.90,152484.50,1882.06,36684.91,141191.30,59216.60,32995.10,252.16,208.54,1236974.00,1166250.17,-26174540.00,1493267.80,12552362.00,82285052.00,26148521.00,10596581.00,2990864.00,47237397.00,6836861.00,12950784.00
2023-06-01,-8.70,-80.37,120.19,2.70,54.57,177.38,47.65,24.79,6.47,725.70,37.04,105.99,25.00,13.50,5.60,37573.54,92889.07,3703.25,38667.77,84277.06,44110.95,21668.43,162.76,95.68,447646.00,2181251.20,-8484059.10,1220207.25,8831773.00,32184016.75,10346682.61,5633137.15,994156.90,30581073.00,1961785.00,4411443.00
2023-07-01,-9.33,-46.27,224.69,0.34,47.07,179.81,51.53,27.03,7.17,618.57,49.39,137.16,19.00,11.71,3.20,69369.02,174432.20,454.15,33351.50,85397.02,43655.40,23630.56,166.80,82.87,388557.00,-237574.78,-18170916.00,100467.65,6166625.00,24724963.00,7758380.00,4879753.67,1093506.00,21854695.00,1532007.50,2955226.00
2023-08-01,-13.36,-46.80,171.89,1.92,47.56,258.29,46.71,30.77,10.86,454.71,62.48,188.34,25.90,13.01,3.90,60029.73,144718.30,2655.77,33701.13,123563.70,42219.00,26899.32,207.90,191.72,866277.00,-326570.08,-13752221.00,3391207.62,8719722.70,74838056.00,30827752.00,11562411.22,3574354.50,30983683.00,3619366.90,6519087.00
2023-09-01,-15.44,-77.03,136.58,0.25,36.74,123.56,38.18,12.28,11.67,464.57,70.85,276.77,31.10,16.22,3.80,40422.18,108710.08,352.06,26031.00,57480.10,33712.54,10733.78,123.99,62.62,-95599.00,-2042109.30,-8292469.00,47442.84,2096681.00,13050266.00,3619085.00,1859057.00,956315.10,13076511.00,-188529.10,-8860770.00
2023-10-01,-12.68,-108.31,100.64,0.13,32.49,93.85,19.45,3.21,8.93,601.31,73.11,319.74,32.00,16.02,5.40,20134.22,80884.49,184.60,23024.50,44655.51,17696.32,2806.36,76.69,29.21,-421457.10,-2614422.00,-4788423.70,28362.39,310925.50,5708208.66,948757.03,446462.53,564475.00,7637201.00,-398395.90,-9321870.00
2023-11-01,-13.81,-67.03,91.48,0.29,39.35,118.84,16.62,10.36,9.93,458.48,76.37,318.80,39.90,17.67,7.80,18173.89,76260.06,423.15,27881.80,56834.60,14889.52,9055.12,103.98,71.17,-246672.60,127279.70,-4939614.00,185847.61,2719593.00,12486728.00,3378169.92,1917175.00,1031402.50,23888162.00,588408.00,-1955162.00
