date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2022-11-28,-1.23,-7.26,28.75,0.00,10.36,11.48,1.53,2.78,0.98,86.54,21.13,71.36,35.10,20.38,10.00,5047.30,23592.00,0.24,7341.00,5436.80,1488.90,2427.00,80.98,106.14,18869.00,-20800.00,-3654506.00,38.84,722159.00,1719799.00,283707.10,515961.00,120058.00,8647635.00,215105.00,-155063.00
2022-12-05,-1.64,-23.14,21.41,0.00,8.90,17.55,7.96,1.06,1.27,140.56,16.63,71.25,35.10,18.60,8.80,4562.70,18278.30,5.03,6302.60,8313.20,6748.90,922.97,84.07,66.90,-14584.00,-477605.10,-1809527.00,-156.00,559690.00,3421511.00,652967.00,157125.00,501005.00,6864266.00,-114584.00,-2467751.00
2022-12-12,-1.59,-31.69,7.89,0.00,12.95,1.50,0.94,0.10,1.17,172.52,16.04,75.18,29.60,17.04,9.30,702.49,5946.60,6.84,9173.00,710.20,797.91,89.35,38.43,-2.91,-71102.00,-1287803.00,-87850.00,-233.37,-248213.00,82807.00,-45485.28,-6691.00,-6966.00,-919624.00,-948359.00,-5176398.00
2022-12-19,-1.42,-15.44,38.13,0.00,10.43,35.83,3.12,0.43,1.02,103.00,19.28,76.52,32.60,22.49,11.80,9866.50,34620.00,0.01,7389.00,16974.00,2661.20,377.60,109.77,64.01,863.70,-276999.00,-3063761.00,1.43,446848.00,3402350.00,222419.00,41566.00,90347.60,4089871.00,18655.00,1162314.00
2022-12-26,-1.29,-18.51,17.20,0.01,13.01,33.33,2.62,2.42,0.91,135.89,21.72,81.94,40.70,24.39,11.90,4017.71,13575.20,12.21,9220.00,16115.50,2645.28,2118.14,103.17,63.15,-4128.00,-233402.00,-1150743.00,3953.74,666286.00,2846881.00,378303.52,322026.87,89769.00,6785809.00,103451.00,691915.00
2023-01-02,-1.24,-20.41,23.71,0.21,12.26,11.82,2.34,1.56,0.93,146.64,20.73,80.16,36.40,22.69,13.40,5012.67,20464.11,262.37,8682.00,5554.90,2322.77,1361.32,65.73,45.05,-10680.00,-756836.40,-1246172.87,98961.87,117871.00,2010949.00,508063.64,485221.88,119285.80,2021075.00,-135728.00,-2013668.00
2023-01-09,-1.38,-10.28,30.43,0.06,11.27,38.70,3.81,2.96,0.96,134.15,22.58,80.81,39.70,24.84,14.10,7714.68,27385.70,90.10,7984.60,18306.02,3973.40,2588.40,111.55,94.64,70454.00,169193.00,-3289990.00,17305.69,948812.00,4827891.00,705243.90,512510.00,115919.00,9699274.00,1334696.00,3775273.00
2023-01-16,-1.36,-23.65,12.65,1.64,12.34,27.48,1.07,1.21,1.06,155.56,19.70,71.71,35.60,21.35,13.20,3315.73,10504.85,2375.06,8746.10,13491.65,1156.81,1055.21,91.94,55.04,3808.00,-289211.00,-1357412.00,44546.40,441687.00,2791976.90,144844.37,171988.70,73212.30,6077222.00,-31264.00,-982067.00
2023-01-23,-1.46,-8.22,30.52,0.84,6.09,46.57,4.08,2.40,1.09,112.05,16.93,68.11,37.40,22.82,13.60,8084.00,28688.00,1211.63,4316.90,22328.00,3931.33,2095.30,131.24,99.83,43419.00,111351.00,-2871401.00,160195.00,414318.00,5842637.00,737660.70,488103.00,133000.00,7916496.00,1035563.00,2499703.00
2023-01-30,-1.54,-22.81,26.80,0.00,8.14,29.57,1.18,0.10,1.16,121.55,19.94,65.88,26.00,17.40,10.90,5929.22,23715.00,1.55,5770.90,14380.50,1275.08,89.43,86.93,48.63,2837.50,-590968.50,-1943276.00,27.21,-58531.50,3055550.00,114380.91,12422.00,70533.90,3413350.00,-437725.00,-1998385.00
2023-02-06,-1.69,-10.88,29.15,0.27,9.44,30.39,4.07,0.78,1.32,117.70,22.22,79.57,36.60,22.39,11.80,5722.30,23209.20,359.30,6690.00,14311.00,3979.38,685.64,97.92,146.11,71106.00,-170821.00,-3012631.00,595519.33,1283703.00,6079143.00,2428917.21,1006064.10,383750.00,9573579.00,963074.00,168012.00
2023-02-13,-1.70,-9.98,36.23,0.92,12.66,41.24,5.97,3.55,1.33,94.96,26.00,79.94,39.50,23.11,11.80,11052.40,29321.00,1302.40,8973.30,19515.00,6173.95,3101.91,146.55,277.97,90922.60,43859.00,-5274767.00,2099261.00,4909976.00,15236421.00,7271038.90,2885339.05,694109.00,9738849.00,2080349.00,3312936.00
2023-02-20,-1.78,-7.54,35.72,0.38,14.39,36.36,7.65,3.14,1.37,161.02,21.53,69.43,39.80,26.39,13.00,8444.80,27225.00,528.29,10194.00,17134.00,8028.72,2746.46,122.53,114.09,65318.00,96413.00,-2712967.00,336243.21,2270871.00,6140262.00,2830924.01,945751.70,316194.00,10407205.00,1225358.00,3902382.00
2023-02-27,-1.57,-14.72,23.86,0.00,10.22,38.32,3.44,2.76,1.10,110.26,22.29,61.35,28.00,18.83,11.70,6456.40,21725.00,3.99,7241.80,18153.00,2966.70,2409.91,123.23,64.68,19430.22,-38914.00,-2151016.00,550.40,504452.00,3635821.00,297113.00,318327.00,102014.00,5473597.00,49655.00,-261699.90
2023-03-06,-1.51,-18.07,24.77,0.01,10.43,28.05,3.86,0.61,1.15,120.89,17.26,59.38,26.50,17.92,12.50,6535.23,20869.40,14.51,7389.00,13288.00,3466.78,534.03,102.19,43.40,-13386.00,-421339.00,-1711205.00,2172.00,272400.00,2617614.00,254118.40,65934.00,91417.00,2607158.00,-271573.00,-1630210.00
2023-03-13,-2.01,-11.55,42.02,0.02,10.54,37.23,3.61,2.47,1.64,89.46,18.97,66.51,33.30,21.39,11.70,12681.90,37041.00,29.41,7469.70,17604.00,3835.56,2162.24,134.96,83.73,48386.50,41213.00,-3566763.00,3903.47,579640.00,4341574.00,654354.21,395282.13,162239.00,5054036.00,138514.00,-465287.00
2023-03-20,-1.59,-11.07,29.85,0.00,4.16,54.85,4.30,0.40,1.12,104.27,15.43,49.58,31.10,19.63,12.30,6525.90,25511.00,2.71,2945.80,26455.40,3518.50,347.00,142.11,82.05,56953.00,96260.00,-1884982.00,218.30,251793.00,5659957.00,356234.00,69504.00,118881.00,6945115.00,516161.00,1178345.00
2023-03-27,-1.91,-19.11,26.22,0.00,6.32,75.09,2.20,4.06,1.51,80.61,16.57,49.86,22.90,16.89,11.00,10070.22,22794.90,0.47,4475.10,36790.00,1758.59,3551.20,197.17,124.96,131422.00,1050417.00,-3322615.00,66.97,804686.00,10184716.00,327812.50,766783.00,231773.00,8298594.00,800736.00,2616343.00
2023-04-03,-1.60,-15.30,25.41,0.01,0.60,54.76,6.78,1.83,1.21,103.61,14.66,49.16,28.70,18.82,10.70,6685.30,21084.12,10.78,424.89,27148.00,5770.50,1596.50,150.25,81.45,61907.00,280347.00,-2082545.00,1645.80,100686.00,5751564.00,741967.00,290479.00,137053.00,5872785.00,630543.00,1481651.00
2023-04-10,-1.60,-35.96,18.79,0.39,0.68,45.25,7.23,0.30,1.26,158.47,11.08,42.63,26.30,16.57,8.70,7066.78,15457.32,570.53,482.10,23215.00,6819.40,261.91,117.29,64.65,-6584.80,539749.70,-1828021.00,64641.88,50704.00,3757752.00,719809.00,35429.00,132534.00,6887471.00,65141.00,-246782.00
2023-04-17,-1.59,-7.72,32.82,0.60,9.09,52.10,14.23,6.10,1.19,71.27,18.25,47.70,24.30,16.16,10.40,15616.40,27640.50,869.29,6443.00,25834.00,14018.50,5335.10,238.06,131.25,113609.00,272449.00,-4033298.00,113525.90,1172283.00,7158623.00,2520654.00,1118939.00,216874.00,7975555.00,983312.00,2007498.00
2023-04-24,-2.45,-17.81,22.89,0.20,8.76,52.75,6.30,7.24,1.89,108.02,14.66,41.59,28.40,18.54,9.80,8765.59,21477.39,293.20,6210.40,25919.10,5818.20,6330.50,184.62,113.32,106156.00,395506.00,-3274838.00,78871.00,1288787.00,8611623.00,1157636.00,1714480.00,333968.00,5399941.00,349294.00,351361.00
2023-05-01,-2.27,-12.35,38.17,0.61,13.23,72.40,11.59,7.73,1.77,91.14,13.22,31.07,18.70,13.40,4.90,14858.50,34326.00,812.72,9373.00,35073.00,10771.00,6754.10,258.62,311.26,424747.00,609128.00,-5667548.00,1087857.00,4001741.00,32831374.00,11590768.00,2842347.00,1634558.00,10085879.00,2179338.00,2820484.00
2023-05-08,-2.00,-5.05,42.92,0.32,10.78,61.54,21.54,6.61,1.50,72.16,15.70,37.49,25.10,13.82,6.00,16180.00,36648.00,443.58,7641.50,29166.00,18419.30,5780.80,269.93,208.22,259411.00,272654.00,-6906873.00,223937.00,2480735.00,13975378.00,6711065.00,1905678.00,545868.00,11601858.00,1849089.00,4311808.00
2023-05-15,-1.71,-2.69,47.78,0.12,12.25,78.86,15.35,12.08,1.20,69.28,13.44,31.55,23.10,12.64,6.30,20024.20,42321.00,181.81,8683.40,38471.00,13707.40,10557.10,305.81,194.02,225843.00,252929.57,-7517564.00,35833.80,2701036.00,17602586.00,3628756.00,2915530.00,275958.00,9285405.00,1634308.00,3289020.00
2023-05-22,-2.40,-10.80,36.85,0.21,11.67,50.05,12.48,9.29,1.70,142.31,8.05,25.14,19.10,13.28,7.80,14087.10,32295.00,266.34,8269.01,23692.30,10384.20,8119.90,194.44,140.51,216475.00,46081.00,-5753302.00,91443.00,2435678.00,10582604.00,2493667.00,2384163.00,348097.00,10007885.00,837758.00,1804000.00
2023-05-29,-2.09,-10.86,15.01,0.14,6.96,63.26,15.07,5.80,1.57,138.70,8.48,21.45,25.00,16.89,12.70,5067.17,13058.30,195.71,4933.27,30635.59,13370.60,5072.90,207.35,150.94,196421.00,255452.60,-999705.00,56630.00,1453375.00,12808463.45,3591720.00,1402802.00,312597.00,12586613.00,1005615.00,2283673.00
2023-06-05,-2.63,-12.53,46.91,0.02,5.49,26.77,8.62,3.81,2.11,153.18,9.91,26.26,23.50,15.21,8.80,12023.37,36316.40,21.94,3887.30,12482.82,8138.70,3332.80,117.98,59.85,63628.00,50194.00,-2924032.00,3418.40,253744.00,3122396.10,806642.00,484344.30,145309.20,4403800.00,219732.00,491667.00
2023-06-12,-1.79,-26.24,17.84,0.01,8.81,12.49,6.54,3.06,1.09,221.47,9.27,28.77,19.20,12.97,6.40,2266.28,12271.76,9.87,6239.10,5837.85,6354.05,2670.90,72.43,18.27,-27456.00,-295538.00,-618774.10,1034.23,152656.00,1018168.90,320179.61,386998.00,70655.00,1630331.00,-128288.00,-851042.00
2023-06-19,-1.78,-33.20,11.78,0.29,21.05,46.03,7.05,5.62,1.26,215.65,6.88,22.08,15.10,11.42,7.50,4939.02,9506.11,407.84,14912.10,21781.80,5919.60,4912.03,147.08,84.03,111253.00,2146055.00,-1268957.00,86762.62,3050448.00,6533967.30,1011722.00,1000204.85,172180.70,11667014.00,424463.00,1003051.00
2023-06-26,-2.13,-0.82,55.75,2.38,22.96,79.51,19.43,12.00,1.59,68.80,8.47,24.46,15.60,10.99,5.60,23121.80,44048.00,3245.50,16268.00,37888.00,18120.30,10484.00,358.95,206.64,273961.00,26291.90,-4973914.00,1126559.00,5861465.00,18583083.00,6768198.00,3481608.00,556236.00,8258696.00,977599.00,2828703.00
2023-07-03,-1.99,-16.86,27.37,0.06,13.55,32.62,9.25,5.66,1.67,193.85,7.83,25.69,17.00,11.81,6.50,10486.24,22448.40,74.06,9599.60,15733.67,8091.70,4948.90,132.50,74.10,112812.00,-224682.10,-3492152.00,14211.78,2037242.00,6550181.00,1211055.00,1213086.00,240592.00,3799718.00,379690.00,1067688.00
2023-07-10,-2.29,-7.45,60.00,0.04,7.38,40.71,10.27,2.82,1.67,128.46,11.36,35.40,17.40,12.10,5.40,16028.90,45031.00,63.70,5230.60,19261.90,8700.90,2464.06,150.01,77.52,63466.00,-267858.60,-3626892.00,23076.64,834453.00,4915040.00,1636748.00,565614.67,257302.00,3990802.00,134382.00,-164459.00
